MeSH ID	Tree ID	Name	Description	Comment	Counts [Pubmed counts]	Color
D000015	C16.131.077	Abnormalities, Multiple	Congenital abnormalities that affect more than one organ or body structure.		31524	
D000016	C16.131.080	Abnormalities, Radiation-Induced	Congenital changes in the morphology of organs produced by exposure to ionizing or non-ionizing radiation.		534	
D000016	C26.733.031	Abnormalities, Radiation-Induced	Congenital changes in the morphology of organs produced by exposure to ionizing or non-ionizing radiation.		534	
D000022	C12.050.703.039	Abortion, Spontaneous	Expulsion of the product of FERTILIZATION before completing the term of GESTATION and without deliberate interference.		12414	
D000026	C12.050.703.039.089	Abortion, Habitual	Three or more consecutive spontaneous abortions.		6441	
D000027	C12.050.703.039.093	Abortion, Incomplete	Premature loss of PREGNANCY in which not all the products of CONCEPTION have been expelled.		463	
D000030	C12.050.703.039.173	Abortion, Missed	The retention in the UTERUS of a dead FETUS two months or more after its DEATH.		719	
D000031	C01.674.173	Abortion, Septic	Any type of abortion, induced or spontaneous, that is associated with infection of the UTERUS and its appendages. It is characterized by FEVER, uterine tenderness, and foul discharge.		897	
D000031	C12.050.703.039.256	Abortion, Septic	Any type of abortion, induced or spontaneous, that is associated with infection of the UTERUS and its appendages. It is characterized by FEVER, uterine tenderness, and foul discharge.		897	
D000031	C12.050.703.700.173	Abortion, Septic	Any type of abortion, induced or spontaneous, that is associated with infection of the UTERUS and its appendages. It is characterized by FEVER, uterine tenderness, and foul discharge.		897	
D000033	C12.050.703.090	Abortion, Threatened	UTERINE BLEEDING from a GESTATION of less than 20 weeks without any CERVICAL DILATATION. It is characterized by vaginal bleeding, lower back discomfort, or midline pelvic cramping and a risk factor for MISCARRIAGE.		1651	
D000034	C12.050.703.039.422	Abortion, Veterinary	Premature expulsion of the FETUS in animals.		3058	
D000034	C22.021	Abortion, Veterinary	Premature expulsion of the FETUS in animals.		3058	
D000037	C12.050.703.420.078	Abruptio Placentae	Premature separation of the normally implanted PLACENTA from the UTERUS. Signs of varying degree of severity include UTERINE BLEEDING, uterine MUSCLE HYPERTONIA, and FETAL DISTRESS or FETAL DEATH.		1589	
D000037	C12.050.703.590.132	Abruptio Placentae	Premature separation of the normally implanted PLACENTA from the UTERUS. Signs of varying degree of severity include UTERINE BLEEDING, uterine MUSCLE HYPERTONIA, and FETAL DISTRESS or FETAL DEATH.		1589	
D000038	C01.830.025	Abscess	Accumulation of purulent material in tissues, organs, or circumscribed spaces, usually associated with signs of infection.		21064	
D000038	C23.550.470.756.100	Abscess	Accumulation of purulent material in tissues, organs, or circumscribed spaces, usually associated with signs of infection.		21064	
D000039	C01.748.561.750.500	Peritonsillar Abscess	An accumulation of purulent material in the area between the PALATINE TONSIL and its capsule.		1094	
D000039	C01.830.025.675	Peritonsillar Abscess	An accumulation of purulent material in the area between the PALATINE TONSIL and its capsule.		1094	
D000039	C07.550.781.750.500	Peritonsillar Abscess	An accumulation of purulent material in the area between the PALATINE TONSIL and its capsule.		1094	
D000039	C08.730.561.750.500	Peritonsillar Abscess	An accumulation of purulent material in the area between the PALATINE TONSIL and its capsule.		1094	
D000039	C09.775.649.750.500	Peritonsillar Abscess	An accumulation of purulent material in the area between the PALATINE TONSIL and its capsule.		1094	
D000051	C17.800.865.070	Acantholysis	Separation of the prickle cells of the stratum spinosum of the epidermis, resulting in atrophy of the prickle cell layer. It is seen in diseases such as pemphigus vulgaris (see PEMPHIGUS) and DARIER DISEASE.		627	
D000051	C23.550.035	Acantholysis	Separation of the prickle cells of the stratum spinosum of the epidermis, resulting in atrophy of the prickle cell layer. It is seen in diseases such as pemphigus vulgaris (see PEMPHIGUS) and DARIER DISEASE.		627	
D000052	C17.800.621.430.530.100	Acanthosis Nigricans	A circumscribed melanosis consisting of a brown-pigmented, velvety verrucosity or fine papillomatosis appearing in the axillae and other body folds. It occurs in association with endocrine disorders, underlying malignancy, administration of certain drugs, or as in inherited disorder.		1300	
D000067011	C18.654.521.719	Severe Acute Malnutrition	Acute form of MALNUTRITION which usually affects children, characterized by a very low weight for height (below -3z scores of the median World Health Organization standards), visible severe wasting, or occurrence of nutritional EDEMA.  It can be a direct or indirect cause of fatality in children suffering from DIARRHEA and PNEUMONIA. Do not confuse with starvation, a condition in which the body is not getting enough food, usually for extended periods of time.		424	
D000067208	C20.543.480.370.763	Shellfish Hypersensitivity	Allergic reaction to SHELLFISH or shellfish products.		73	
D000067251	C23.550.291.937.500	Symptom Flare Up	A transient exacerbation of symptoms of an existing disease or condition.		294	
D000067329	C18.654.726.750.500.650	Obesity, Metabolically Benign	A sub-PHENOTYPE of obese individuals who have a risk for CARDIOVASCULAR DISEASES between that of healthy individuals with normal weight and unhealthy individuals with obesity.		340	
D000067329	C23.888.144.699.500.250	Obesity, Metabolically Benign	A sub-PHENOTYPE of obese individuals who have a risk for CARDIOVASCULAR DISEASES between that of healthy individuals with normal weight and unhealthy individuals with obesity.		340	
D000067390	C26.212	Cold Injury	A physical injury caused by exposure of the body to extremely low ambient temperatures that may lead to loss of body parts, or in extreme cases, death. Examples of cold injury are FROSTBITE and CHILBLAINS.		61	
D000067398	C26.946	War-Related Injuries	WOUNDS and INJURIES and PSYCHOLOGICAL TRAUMA sustained during WAR.		469	
D000067562	C23.550.291.883	Late Onset Disorders	Pathological conditions (Disorder, SYNDROME, or DISEASE) whose SIGNS AND SYMPTOMS manifest late in the life of an individual.		207	
D000068376	C23.888.369.500.500	Compassion Fatigue	Emotional distress caused by repeated or prolonged expression of compassion or empathy. It may occur in individuals working in care giving professions.		673	
D000069076	C26.404.280	Fractures, Multiple	Injuries involving the breaking of either several bones or one bone in two or more places.		180	
D000069076	C26.640.500	Fractures, Multiple	Injuries involving the breaking of either several bones or one bone in two or more places.		180	
D000069279	C10.228.140.490.125	Drug Resistant Epilepsy	Epileptic condition in which adequate trials of two tolerated and appropriately chosen and used ANTIEPILEPTIC DRUGS schedules to achieve sustained seizure freedom failed.		3144	
D000069281	C10.228.140.617.738.275.500	Autoimmune Hypophysitis	Immune-mediated inflammation of the PITUITARY GLAND often associated with other autoimmune diseases (e.g., HASHIMOTO DISEASE; GRAVES DISEASE; and ADDISON DISEASE).		174	
D000069281	C19.700.419.500	Autoimmune Hypophysitis	Immune-mediated inflammation of the PITUITARY GLAND often associated with other autoimmune diseases (e.g., HASHIMOTO DISEASE; GRAVES DISEASE; and ADDISON DISEASE).		174	
D000069281	C20.111.273	Autoimmune Hypophysitis	Immune-mediated inflammation of the PITUITARY GLAND often associated with other autoimmune diseases (e.g., HASHIMOTO DISEASE; GRAVES DISEASE; and ADDISON DISEASE).		174	
D000069282	C11.496.221.500	Canaliculitis	Inflammation and infection of the lacrimal canaliculus area in the LACRIMAL APPARATUS.		57	
D000069290	C23.300.707.945	Incisional Hernia	Protrusion of tissue at or near the site of an incision from a previous surgery.		1154	
D000069290	C23.550.767.500	Incisional Hernia	Protrusion of tissue at or near the site of an incision from a previous surgery.		1154	
D000069293	C04.557.386.480.150.585.500	Plasmablastic Lymphoma	Malignant lymphoma composed of large B lymphoid cells which have the immunophenotype of plasma cells and a predilection for the ORAL CAVITY.		250	
D000069293	C15.604.515.569.480.150.585.500	Plasmablastic Lymphoma	Malignant lymphoma composed of large B lymphoid cells which have the immunophenotype of plasma cells and a predilection for the ORAL CAVITY.		250	
D000069293	C20.683.515.761.480.150.585.500	Plasmablastic Lymphoma	Malignant lymphoma composed of large B lymphoid cells which have the immunophenotype of plasma cells and a predilection for the ORAL CAVITY.		250	
D000069295	C04.557.470.200.588	Mammary Analogue Secretory Carcinoma	A malignant neoplasm of epithelial cells of the SALIVARY GLANDS, with microcystic architecture, low-grade nuclei, and granular vacuolated cytoplasm.		111	
D000069316	C17.800.030.150.500	Acne Conglobata	Severe and chronic form of acne characterized by large, burrowing abscesses associated with disfigurement.		18	
D000069316	C17.800.794.111.500	Acne Conglobata	Severe and chronic form of acne characterized by large, burrowing abscesses associated with disfigurement.		18	
D000069337	C12.050.351.875.420	Fused Kidney	Congenital fusion of two kidneys.		184	
D000069337	C12.200.706.445	Fused Kidney	Congenital fusion of two kidneys.		184	
D000069337	C12.800.445	Fused Kidney	Congenital fusion of two kidneys.		184	
D000069337	C16.131.939.445	Fused Kidney	Congenital fusion of two kidneys.		184	
D000069451	C23.550.543	Long Term Adverse Effects	Persistent detrimental effects from treatment for a condition. Included are effects from surgery such as POSTOPERATIVE COMPLICATIONS, and from DRUG THERAPY, such as CHEMICALLY INDUCED DISORDERS, or other THERAPEUTICS. Failure to attain a desired outcome from treatment for the condition is not considered an adverse effect.		1102	
D000069544	C01.207.399	Infectious Encephalitis	Brain inflammation caused by an infectious agent.		190	
D000069544	C10.228.140.430.520	Infectious Encephalitis	Brain inflammation caused by an infectious agent.		190	
D000069544	C10.228.228.399	Infectious Encephalitis	Brain inflammation caused by an infectious agent.		190	
D000069544	C10.586.250.520	Infectious Encephalitis	Brain inflammation caused by an infectious agent.		190	
D000069578	C01.936	Waterborne Diseases	Illnesses due to micro-organisms and chemicals in drinking water, those caused by organisms having part of their lifecycle in water or those with water-related vectors, and others spread by aerosols containing pathogens.		197	
D000069584	C04.588.180.800	Unilateral Breast Neoplasms	Tumors or cancer found specifically in one human BREAST, but not in both.		347	
D000069584	C17.800.090.500.682	Unilateral Breast Neoplasms	Tumors or cancer found specifically in one human BREAST, but not in both.		347	
D000069836	C26.808.500	Degloving Injuries	Avulsions of the superficial tissues of SKIN and SUBCUTANEOUS TISSUE from the underlying FASCIA.		134	
D000069856	C12.050.351.968.419.600.500.500	Staghorn Calculi	Renal calculi with a characteristic shape like antlers of a deer, formed as it extends into multiple calices of the RENAL PELVIS. A large number of staghorn calculi as well as other URINARY CALCULI are composed of STRUVITE.		109	
D000069856	C12.050.351.968.967.249.500.500	Staghorn Calculi	Renal calculi with a characteristic shape like antlers of a deer, formed as it extends into multiple calices of the RENAL PELVIS. A large number of staghorn calculi as well as other URINARY CALCULI are composed of STRUVITE.		109	
D000069856	C12.050.351.968.967.500.503.500	Staghorn Calculi	Renal calculi with a characteristic shape like antlers of a deer, formed as it extends into multiple calices of the RENAL PELVIS. A large number of staghorn calculi as well as other URINARY CALCULI are composed of STRUVITE.		109	
D000069856	C12.200.777.419.600.500.500	Staghorn Calculi	Renal calculi with a characteristic shape like antlers of a deer, formed as it extends into multiple calices of the RENAL PELVIS. A large number of staghorn calculi as well as other URINARY CALCULI are composed of STRUVITE.		109	
D000069856	C12.200.777.967.249.500.500	Staghorn Calculi	Renal calculi with a characteristic shape like antlers of a deer, formed as it extends into multiple calices of the RENAL PELVIS. A large number of staghorn calculi as well as other URINARY CALCULI are composed of STRUVITE.		109	
D000069856	C12.200.777.967.500.503.500	Staghorn Calculi	Renal calculi with a characteristic shape like antlers of a deer, formed as it extends into multiple calices of the RENAL PELVIS. A large number of staghorn calculi as well as other URINARY CALCULI are composed of STRUVITE.		109	
D000069856	C12.950.419.600.500.500	Staghorn Calculi	Renal calculi with a characteristic shape like antlers of a deer, formed as it extends into multiple calices of the RENAL PELVIS. A large number of staghorn calculi as well as other URINARY CALCULI are composed of STRUVITE.		109	
D000069856	C12.950.967.249.500.500	Staghorn Calculi	Renal calculi with a characteristic shape like antlers of a deer, formed as it extends into multiple calices of the RENAL PELVIS. A large number of staghorn calculi as well as other URINARY CALCULI are composed of STRUVITE.		109	
D000069856	C12.950.967.500.503.500	Staghorn Calculi	Renal calculi with a characteristic shape like antlers of a deer, formed as it extends into multiple calices of the RENAL PELVIS. A large number of staghorn calculi as well as other URINARY CALCULI are composed of STRUVITE.		109	
D000069856	C23.300.175.850.550.500	Staghorn Calculi	Renal calculi with a characteristic shape like antlers of a deer, formed as it extends into multiple calices of the RENAL PELVIS. A large number of staghorn calculi as well as other URINARY CALCULI are composed of STRUVITE.		109	
D000070558	C05.330.488.655	Talipes	Deformity in which the foot is misaligned with respect to the TALUS in the ANKLE JOINT. While mostly congenital, as in CLUBFOOT, acquired deformities are included. Acquired talipedes are often associated with other foot deformities such as SYNDACTYLY and POLYDACTYLY.		11	
D000070558	C05.330.495.681	Talipes	Deformity in which the foot is misaligned with respect to the TALUS in the ANKLE JOINT. While mostly congenital, as in CLUBFOOT, acquired deformities are included. Acquired talipedes are often associated with other foot deformities such as SYNDACTYLY and POLYDACTYLY.		11	
D000070558	C05.660.585.512.380.813	Talipes	Deformity in which the foot is misaligned with respect to the TALUS in the ANKLE JOINT. While mostly congenital, as in CLUBFOOT, acquired deformities are included. Acquired talipedes are often associated with other foot deformities such as SYNDACTYLY and POLYDACTYLY.		11	
D000070558	C16.131.621.585.512.500.681	Talipes	Deformity in which the foot is misaligned with respect to the TALUS in the ANKLE JOINT. While mostly congenital, as in CLUBFOOT, acquired deformities are included. Acquired talipedes are often associated with other foot deformities such as SYNDACTYLY and POLYDACTYLY.		11	
D000070589	C05.330.488.655.500	Talipes Cavus	A foot deformity in which the arch of the foot is high and often the heel adducted.		84	
D000070589	C05.330.495.681.500	Talipes Cavus	A foot deformity in which the arch of the foot is high and often the heel adducted.		84	
D000070589	C05.660.585.512.380.813.500	Talipes Cavus	A foot deformity in which the arch of the foot is high and often the heel adducted.		84	
D000070589	C16.131.621.585.512.500.681.500	Talipes Cavus	A foot deformity in which the arch of the foot is high and often the heel adducted.		84	
D000070591	C05.330.663	Metatarsal Valgus	A foot anomaly in which the forefoot is angled outward relative to the hindfoot.		1	
D000070592	C05.330.711	Metatarsus Varus	A foot anomaly in which the forefoot (METATARSUS) is angled inward relative to the heel.		47	
D000070598	C26.558.554.213	Anterior Cruciate Ligament Injuries	Sprain or tear injuries to the ANTERIOR CRUCIATE LIGAMENT of the knee.		8590	
D000070599	C26.803	Shoulder Injuries	Injuries involving the SHOULDERS and SHOULDER JOINT.		3051	
D000070600	C26.558.781	Tibial Meniscus Injuries	Injuries to the TIBIAL MENISCUS of the leg.		3196	
D000070603	C05.116.296	Coxa Magna	Deformity of the hip characterized by enlargement and deformation of the FEMUR HEAD and FEMUR NECK, often with associated changes in the ACETABULUM. These changes may be secondary to other diseases (e.g.  LEGG-PERTHES DISEASE; ARTHRITIS; HIP DISLOCATION, CONGENITAL) or TRAUMA.		7	
D000070604	C05.116.099.370.894.909	Tarsal Coalition	Congenital, complete or partial fusion of the TARSAL BONES of the foot. PES PLANUS is usually a feature.		83	
D000070604	C05.330.495.787	Tarsal Coalition	Congenital, complete or partial fusion of the TARSAL BONES of the foot. PES PLANUS is usually a feature.		83	
D000070604	C05.660.585.512.380.875	Tarsal Coalition	Congenital, complete or partial fusion of the TARSAL BONES of the foot. PES PLANUS is usually a feature.		83	
D000070604	C05.660.906.909	Tarsal Coalition	Congenital, complete or partial fusion of the TARSAL BONES of the foot. PES PLANUS is usually a feature.		83	
D000070604	C16.131.621.585.512.500.787	Tarsal Coalition	Congenital, complete or partial fusion of the TARSAL BONES of the foot. PES PLANUS is usually a feature.		83	
D000070604	C16.131.621.906.909	Tarsal Coalition	Congenital, complete or partial fusion of the TARSAL BONES of the foot. PES PLANUS is usually a feature.		83	
D000070607	C05.360.500.500	Morton Neuroma	A nerve inflammation in the foot caused by chronic compression of the plantar nerve between the METATARSAL BONES.		102	
D000070607	C05.550.610.500	Morton Neuroma	A nerve inflammation in the foot caused by chronic compression of the plantar nerve between the METATARSAL BONES.		102	
D000070607	C10.668.829.600.375	Morton Neuroma	A nerve inflammation in the foot caused by chronic compression of the plantar nerve between the METATARSAL BONES.		102	
D000070607	C23.888.592.612.540.500	Morton Neuroma	A nerve inflammation in the foot caused by chronic compression of the plantar nerve between the METATARSAL BONES.		102	
D000070607	C23.888.592.612.664.275	Morton Neuroma	A nerve inflammation in the foot caused by chronic compression of the plantar nerve between the METATARSAL BONES.		102	
D000070617	C26.599	Microtrauma, Physical	Small injuries caused by external force applied to the body including bones, muscles, nerves and tendons.		2	
D000070624	C10.228.140.199.444.375	Brain Contusion	A bruise of the brain from an impact of the skull.		91	
D000070624	C10.900.300.087.235.375	Brain Contusion	A bruise of the brain from an impact of the skull.		91	
D000070624	C26.915.300.200.194.375	Brain Contusion	A bruise of the brain from an impact of the skull.		91	
D000070624	C26.974.250.500	Brain Contusion	A bruise of the brain from an impact of the skull.		91	
D000070625	C10.228.140.199.388	Brain Injuries, Diffuse	Brain injuries occurring over a wide area instead of specific focal area.		43	
D000070625	C10.900.300.087.219	Brain Injuries, Diffuse	Brain injuries occurring over a wide area instead of specific focal area.		43	
D000070625	C26.915.300.200.188	Brain Injuries, Diffuse	Brain injuries occurring over a wide area instead of specific focal area.		43	
D000070627	C10.228.140.199.444.500	Chronic Traumatic Encephalopathy	Degenerative brain disease linked to repetitive brain trauma. Progressive symptoms may include MEMORY LOSS; AGGRESSION; or DEPRESSION.		351	
D000070627	C10.228.140.199.500.500	Chronic Traumatic Encephalopathy	Degenerative brain disease linked to repetitive brain trauma. Progressive symptoms may include MEMORY LOSS; AGGRESSION; or DEPRESSION.		351	
D000070627	C10.574.250	Chronic Traumatic Encephalopathy	Degenerative brain disease linked to repetitive brain trauma. Progressive symptoms may include MEMORY LOSS; AGGRESSION; or DEPRESSION.		351	
D000070627	C10.900.300.087.235.500	Chronic Traumatic Encephalopathy	Degenerative brain disease linked to repetitive brain trauma. Progressive symptoms may include MEMORY LOSS; AGGRESSION; or DEPRESSION.		351	
D000070627	C10.900.300.087.250.500	Chronic Traumatic Encephalopathy	Degenerative brain disease linked to repetitive brain trauma. Progressive symptoms may include MEMORY LOSS; AGGRESSION; or DEPRESSION.		351	
D000070627	C23.550.291.500.063.500.500	Chronic Traumatic Encephalopathy	Degenerative brain disease linked to repetitive brain trauma. Progressive symptoms may include MEMORY LOSS; AGGRESSION; or DEPRESSION.		351	
D000070627	C26.915.300.200.194.500	Chronic Traumatic Encephalopathy	Degenerative brain disease linked to repetitive brain trauma. Progressive symptoms may include MEMORY LOSS; AGGRESSION; or DEPRESSION.		351	
D000070627	C26.915.300.200.200.500	Chronic Traumatic Encephalopathy	Degenerative brain disease linked to repetitive brain trauma. Progressive symptoms may include MEMORY LOSS; AGGRESSION; or DEPRESSION.		351	
D000070630	C05.550.518.288	Diastasis, Muscle	Abnormal separation of muscles.		49	
D000070630	C26.289.288	Diastasis, Muscle	Abnormal separation of muscles.		49	
D000070631	C05.550.518.192	Diastasis, Bone	Abnormal separation of bones, often from a LIGAMENT.		18	
D000070631	C26.289.192	Diastasis, Bone	Abnormal separation of bones, often from a LIGAMENT.		18	
D000070636	C26.761.340	Rotator Cuff Injuries	Injuries to the ROTATOR CUFF of the shoulder joint.		5514	
D000070636	C26.803.063	Rotator Cuff Injuries	Injuries to the ROTATOR CUFF of the shoulder joint.		5514	
D000070636	C26.874.400	Rotator Cuff Injuries	Injuries to the ROTATOR CUFF of the shoulder joint.		5514	
D000070639	C05.651.869.435	Elbow Tendinopathy	Inflammation (tendinitis) or degeneration (tendinosis) of the tendons of the elbow.		46	
D000070639	C26.874.800.500	Elbow Tendinopathy	Inflammation (tendinitis) or degeneration (tendinosis) of the tendons of the elbow.		46	
D000070642	C10.228.140.199.444	Brain Injuries, Traumatic	A form of acquired brain injury which occurs when a sudden trauma causes damage to the brain.		11875	
D000070642	C10.900.300.087.235	Brain Injuries, Traumatic	A form of acquired brain injury which occurs when a sudden trauma causes damage to the brain.		11875	
D000070642	C26.915.300.200.194	Brain Injuries, Traumatic	A form of acquired brain injury which occurs when a sudden trauma causes damage to the brain.		11875	
D000070656	C05.550.114.264.500	Rotator Cuff Tear Arthropathy	Rapidly destructive shoulder joint and bone disease found mainly in elderly, and predominantly in women. It is characterized by SHOULDER PAIN; JOINT INSTABILITY; and the presence of crystalline CALCIUM PHOSPHATES in the SYNOVIAL FLUID. It is associated with ROTATOR CUFF INJURIES.		78	
D000070656	C05.550.354.250	Rotator Cuff Tear Arthropathy	Rapidly destructive shoulder joint and bone disease found mainly in elderly, and predominantly in women. It is characterized by SHOULDER PAIN; JOINT INSTABILITY; and the presence of crystalline CALCIUM PHOSPHATES in the SYNOVIAL FLUID. It is associated with ROTATOR CUFF INJURIES.		78	
D000070657	C05.550.354	Crystal Arthropathies	Joint disorders that are characterized by accumulation of microcrystals in and around the joint including in the SYNOVIAL FLUID. They are classified according to the chemical nature of the crystals such as CALCIUM PYROPHOSPHATE; basic CALCIUM PHOSPHATES; and monosodium urate (see URIC ACID).		59	
D000070676	C05.651.869.653	Enthesopathy	A disorder occurring at the site of insertion of TENDONS or LIGAMENTS into bones or JOINT CAPSULES.		245	
D000070676	C26.874.800.750	Enthesopathy	A disorder occurring at the site of insertion of TENDONS or LIGAMENTS into bones or JOINT CAPSULES.		245	
D000070779	C04.557.450.565.380.690	Giant Cell Tumor of Tendon Sheath	A tumor arising in the SYNOVIAL MEMBRANE; SYNOVIAL BURSA; or TENDON sheath. It is characterized by OSTEOCLAST-like GIANT CELLS; FOAM CELLS; pigmented HEMOSIDERIN-laden MACROPHAGES and inflammatory infiltrate. It is classified either as diffuse or localized tenosynovitis.		196	
D000070779	C05.550.870.445	Giant Cell Tumor of Tendon Sheath	A tumor arising in the SYNOVIAL MEMBRANE; SYNOVIAL BURSA; or TENDON sheath. It is characterized by OSTEOCLAST-like GIANT CELLS; FOAM CELLS; pigmented HEMOSIDERIN-laden MACROPHAGES and inflammatory infiltrate. It is classified either as diffuse or localized tenosynovitis.		196	
D000070779	C05.651.869.762	Giant Cell Tumor of Tendon Sheath	A tumor arising in the SYNOVIAL MEMBRANE; SYNOVIAL BURSA; or TENDON sheath. It is characterized by OSTEOCLAST-like GIANT CELLS; FOAM CELLS; pigmented HEMOSIDERIN-laden MACROPHAGES and inflammatory infiltrate. It is classified either as diffuse or localized tenosynovitis.		196	
D000070896	C26.404.625.500	Bankart Lesions	An anterior capsulolabral injury associated with a tear of the anteroinferior GLENOID LABRUM.		181	
D000070896	C26.803.250.500	Bankart Lesions	An anterior capsulolabral injury associated with a tear of the anteroinferior GLENOID LABRUM.		181	
D000071017	C10.228.590	Hyperekplexia	A neurological disorder characterized by an excessive startle reaction with ABNORMAL REFLEX;  MYOCLONIC JERKS; and MUSCLE HYPERTONIA.		48	
D000071056	C06.198.025	Anorectal Malformations	Congenital defects in the anus and the rectum often involving the urinary and genital tracts.		503	
D000071056	C16.131.314.047	Anorectal Malformations	Congenital defects in the anus and the rectum often involving the urinary and genital tracts.		503	
D000071057	C10.228.662.262.500.500	Tardive Dyskinesia	Drug-related movement disorder characterized by uncontrollable movements in certain muscles. It is associated with a long-term exposure to certain neuroleptic medications (e.g., METOCLOPRAMIDE).		354	
D000071057	C10.597.350.275.500	Tardive Dyskinesia	Drug-related movement disorder characterized by uncontrollable movements in certain muscles. It is associated with a long-term exposure to certain neuroleptic medications (e.g., METOCLOPRAMIDE).		354	
D000071057	C23.888.592.350.275.500	Tardive Dyskinesia	Drug-related movement disorder characterized by uncontrollable movements in certain muscles. It is associated with a long-term exposure to certain neuroleptic medications (e.g., METOCLOPRAMIDE).		354	
D000071064	C23.888.369.500.250	Alert Fatigue, Health Personnel	Mental fatigue experienced by health care providers who encounter numerous alerts and reminders from the use of CLINICAL DECISION SUPPORT SYSTEMS. As the numbers of alerts and reminders designed to provide meaningful assistance to the patient care process increases, many health personnel may ignore them.		38	
D000071067	C01.748.610.608	Pneumonia, Necrotizing	Severe complication of pneumonia characterized by liquefaction of lung tissue.		106	
D000071067	C08.381.677.608	Pneumonia, Necrotizing	Severe complication of pneumonia characterized by liquefaction of lung tissue.		106	
D000071067	C08.730.610.608	Pneumonia, Necrotizing	Severe complication of pneumonia characterized by liquefaction of lung tissue.		106	
D000071069	C23.550.291.500.500	Multiple Chronic Conditions	Two or more concurrent chronic physical, mental, or behavioral health problems in an individual.		563	
D000071070	C16.320.298	Familial Multiple Lipomatosis	A rare autosomal disorder characterized by numerous encapsulated lipomas on the trunk and extremities. The lipomas are usually not painful but can cause pain when growing. In rare cases, one lipoma can become painful and progress to multiple painful lipomas; it is then referred to as Dercum's Disease Type III		6	
D000071070	C17.800.463.375	Familial Multiple Lipomatosis	A rare autosomal disorder characterized by numerous encapsulated lipomas on the trunk and extremities. The lipomas are usually not painful but can cause pain when growing. In rare cases, one lipoma can become painful and progress to multiple painful lipomas; it is then referred to as Dercum's Disease Type III		6	
D000071070	C18.452.584.718.625	Familial Multiple Lipomatosis	A rare autosomal disorder characterized by numerous encapsulated lipomas on the trunk and extremities. The lipomas are usually not painful but can cause pain when growing. In rare cases, one lipoma can become painful and progress to multiple painful lipomas; it is then referred to as Dercum's Disease Type III		6	
D000071071	C14.907.055.817	Microaneurysm	Aneurysm of the MICROVASCULATURE. Charcot–Bouchard aneurysms are aneurysms of the brain vasculature which is a common cause of CEREBRAL HEMORRHAGE. Retinal microaneurysm is an early diagnostic sign of DIABETIC RETINOPATHY.		119	
D000071072	C10.228.140.021	Acute Febrile Encephalopathy	Acute onset of fever accompanied by seizures, cerebral inflammation and a change in mental status (e.g., confusion, disorientation, and coma).		91	
D000071074	C01.757.580	Neonatal Sepsis	Blood infection that occurs in an infant younger than 90 days old. Early-onset sepsis is seen in the first week of life and most often appears within 24 hours of birth. Late-onset occurs after 1 week and before 3 months of age.		1264	
