MeSH ID	Tree ID	Name	Description	Comment	Counts [Template Drug]	Color
D054141	C23.018.011|C14.003.001.014	Ventricular Flutter	A potentially lethal cardiac arrhythmia characterized by an extremely rapid, hemodynamically unstable ventricular tachycardia (150-300 beats/min) with a large oscillating sine-wave appearance. If untreated, ventricular flutter typically progresses to VENTRICULAR FIBRILLATION.		0	#FFFFFF
D000071074	C16.202|C23.111.008.002.003|C01.041.003	Neonatal Sepsis	Blood infection that occurs in an infant younger than 90 days old. Early-onset sepsis is seen in the first week of life and most often appears within 24 hours of birth. Late-onset occurs after 1 week and before 3 months of age.		0	#FFFFFF
D018461	C01.043	Soft Tissue Infections	Infections of non-skeletal tissue, i.e., exclusive of bone, ligaments, cartilage, and fibrous tissue. The concept is usually referred to as skin and soft tissue infections and usually subcutaneous and muscle tissue are involved. The predisposing factors in anaerobic infections are trauma, ischemia, and surgery. The organisms often derive from the fecal or oral flora, particularly in wounds associated with intestinal surgery, decubitus ulcer, and human bites. (From Cecil Textbook of Medicine, 19th ed, p1688)		0	#FFFFFF
D000071699	C10.011|C23.027|C09.002.005.004.001	Bilateral Vestibulopathy	Impairment of the vestibular function of both inner ears which can cause difficulties with balance, gait, VERTIGO, and visual blurring.		0	#FFFFFF
D053099	C23.025|C12.017.001.035.001|C12.010.015.001.035.001|C12.004.005.015.001.035.001	Azotemia	A biochemical abnormality referring to an elevation of BLOOD UREA NITROGEN and CREATININE. Azotemia can be produced by KIDNEY DISEASES or other extrarenal disorders. When azotemia becomes associated with a constellation of clinical signs, it is termed UREMIA.		0	#FFFFFF
D007984	C12.006.009.007.003.001.001|C19.005.008.001.001|C12.010.014.001.003.001.001|C19.006.010.002.001.001|C04.037.002.003.001|C04.015.008.001.001|C04.066.002.003.001.001|C12.010.005.007.003.001.001|C12.016.002.003.001.001	Leydig Cell Tumor	Gonadal interstitial or stromal cell neoplasm composed of only LEYDIG CELLS. These tumors may produce one or more of the steroid hormones such as ANDROGENS; ESTROGENS; and CORTICOSTEROIDS. Clinical symptoms include testicular swelling, GYNECOMASTIA, sexual precocity in children, or virilization (VIRILISM) in females.		0	#FFFFFF
D017588	C12.001.003|C19.006.002.002|C19.006.001.003|C12.004.005.002.002|C12.010.002.002|C16.002.003|C12.002.002|C12.004.005.001.003|C16.006.002|C12.010.001.003	Hyperandrogenism	A condition caused by the excessive secretion of ANDROGENS from the ADRENAL CORTEX; the OVARIES; or the TESTES. The clinical significance in males is negligible. In women, the common manifestations are HIRSUTISM and VIRILISM as seen in patients with POLYCYSTIC OVARY SYNDROME and ADRENOCORTICAL HYPERFUNCTION.		0	#FFFFFF
D011014	C01.039.012|C08.012.012|C08.007.015	Pneumonia	Infection of the lung often accompanied by inflammation.		0	#FFFFFF
D007787	C06.005.004.017.004|C18.051.005|C18.043|C16.164	Lactose Intolerance	The condition resulting from the absence or deficiency of LACTASE in the MUCOSA cells of the GASTROINTESTINAL TRACT, and the inability to break down LACTOSE in milk for ABSORPTION. Bacterial fermentation of the unabsorbed lactose leads to symptoms that range from a mild indigestion (DYSPEPSIA) to severe DIARRHEA. Lactose intolerance may be an inborn error or acquired.		0	#FFFFFF
D002813	C04.034.002.003|C04.034.005.003	Chondrosarcoma	A slowly growing malignant neoplasm derived from cartilage cells, occurring most frequently in pelvic bones or near the ends of long bones, in middle-aged and old people. Most chondrosarcomas arise de novo, but some may develop in a preexisting benign cartilaginous lesion or in patients with ENCHONDROMATOSIS. (Stedman, 25th ed)		0	#FFFFFF
D056586	C16.016.003.001|C15.001.008.001.001|C08.010.001|C08.007.001|C16.123.001.001|C15.001.001.002.002.003.001	Acute Chest Syndrome	Respiratory syndrome characterized by the appearance of a new pulmonary infiltrate on chest x-ray, accompanied by symptoms of fever, cough, chest pain, tachypnea, or DYSPNEA, often seen in patients with SICKLE CELL ANEMIA. Multiple factors (e.g., infection, and pulmonary FAT EMBOLISM) may contribute to the development of the syndrome.		0	#FFFFFF
D004919	C04.054.003	Erythroplasia	A condition of the mucous membrane characterized by erythematous papular lesions.		0	#FFFFFF
D020886	C10.061.003|C23.191.004	Somatosensory Disorders	Disorders of sensory information received from superficial and deep regions of the body. The somatosensory system conveys neural impulses which pertain to proprioception, tactile sensation, thermal sensation, pressure sensation, and pain. PERIPHERAL NERVOUS SYSTEM DISEASES; SPINAL CORD DISEASES; and BRAIN DISEASES may be associated with impaired or abnormal somatic sensation.		0	#FFFFFF
D000072281	C15.002.003	Lymphadenopathy	Disease of LYMPH NODES which are abnormal in size, number or consistency.		0	#FFFFFF
D009767	C23.155.004|C18.060.005	Obesity, Morbid	The condition of weighing two, three, or more times the ideal weight, so called because it is associated with many serious and life-threatening disorders. In the BODY MASS INDEX, morbid obesity is defined as having a BMI greater than 40.0 kg/m2.		0	#FFFFFF
D005645	C18.011.012.001|C16.106|C18.049.004.001|C18.019|C16.181.004.001|C16.032.012.001|C18.010.001.012.001|C10.014.001.008.001.012.001	Fucosidosis	An autosomal recessive lysosomal storage disease caused by a deficiency of ALPHA-L-FUCOSIDASE activity resulting in an accumulation of fucose containing SPHINGOLIPIDS; GLYCOPROTEINS, and mucopolysaccharides (GLYCOSAMINOGLYCANS) in lysosomes. The infantile form (type I) features psychomotor deterioration, MUSCLE SPASTICITY, coarse facial features, growth retardation, skeletal abnormalities, visceromegaly, SEIZURES, recurrent infections, and MACROGLOSSIA, with death occurring in the first decade of life. Juvenile fucosidosis (type II) is the more common variant and features a slowly progressive decline in neurologic function and angiokeratoma corporis diffusum. Type II survival may be through the fourth decade of life. (From Menkes, Textbook of Child Neurology, 5th ed, p87; Am J Med Genet 1991 Jan;38(1):111-31)		0	#FFFFFF
D004674	C10.014.002.005.002.001.003|C10.014.001.019.003.001.001.003|C01.012.005.002.001.003|C01.054.013.007.001.003|C10.048.001.003.001.001.003|C01.054.004.001.001.003|C10.014.002.009.001.001.003|C01.012.009.001.001.003|C01.054.013.006.003|C01.054.002.004.003|C01.052.001.003.003	Encephalitis, St. Louis	A viral encephalitis caused by the St. Louis encephalitis virus (ENCEPHALITIS VIRUS, ST. LOUIS), a FLAVIVIRUS. It is transmitted to humans and other vertebrates primarily by mosquitoes of the genus CULEX. The primary animal vectors are wild birds and the disorder is endemic to the midwestern and southeastern United States. Infections may be limited to an influenza-like illness or present as an ASEPTIC MENINGITIS or ENCEPHALITIS. Clinical manifestations of the encephalitic presentation may include SEIZURES, lethargy, MYOCLONUS, focal neurologic signs, COMA, and DEATH. (From Adams et al., Principles of Neurology, 6th ed, p750)		0	#FFFFFF
D028922	C18.059.002|C16.012.009.002|C18.003.009.002|C16.195.002	Holocarboxylase Synthetase Deficiency	The neonatal form of MULTIPLE CARBOXYLASE DEFICIENCY that is caused by a defect or deficiency in holocarboxylase synthetase. HLCS is the enzyme that covalently links biotin to the biotin dependent carboxylases (propionyl-CoA-carboxylase, pyruvate carboxylase, and beta-methylcrotonyl-CoA carboxylase).		0	#FFFFFF
D007079	C06.005.002.006.002|C06.005.004.005.002|C06.005.004.008.002	Ileitis	Inflammation of any segment of the ILEUM and the ILEOCECAL VALVE.		0	#FFFFFF
D018283	C04.036.002.001.026.002|C04.036.005.004.002	Cystadenocarcinoma, Papillary	An adenocarcinoma in which the tumor elements are arranged as finger-like processes or as a solid spherical nodule projecting from an epithelial surface.		0	#FFFFFF
D042882	C23.033.001|C06.002.004.003|C06.002.005.002.001	Gallstones	Solid crystalline precipitates in the BILIARY TRACT, usually formed in the GALLBLADDER, resulting in the condition of CHOLELITHIASIS. Gallstones, derived from the BILE, consist mainly of calcium, cholesterol, or bilirubin.		0	#FFFFFF
D053706	C01.029.003|C06.005.002.007.002.001|C06.005.004.001.003	Typhlitis	Necrotizing inflammation of the CECUM ("typhlon" in Greek), sometimes spreading to the APPENDIX and/or the ILEUM. Symptoms include ABDOMINAL PAIN and DIARRHEA. Its pathogenesis is multifactorial. Typhlitis is often associated with NEUTROPENIA and chemotherapy in immunocompromised individuals (IMMUNOCOMPROMISED HOST).		0	#FFFFFF
D003920	C18.021.001|C19.003	Diabetes Mellitus	A heterogeneous group of disorders characterized by HYPERGLYCEMIA and GLUCOSE INTOLERANCE.		0	#FFFFFF
D000088323	C10.014.001.014.014|C14.005.010.012|F03.017.002.005	Vascular Depression	Late-life depression associated with clinical or MRI defined cerebrovascular pathology.		0	#FFFFFF
D016584	F03.005.006	Panic Disorder	A type of anxiety disorder characterized by unexpected panic attacks that last minutes or, rarely, hours. Panic attacks begin with intense apprehension, fear or terror and, often, a feeling of impending doom. Symptoms experienced during a panic attack include dyspnea or sensations of being smothered; dizziness, loss of balance or faintness; choking sensations; palpitations or accelerated heart rate; shakiness; sweating; nausea or other form of abdominal distress; depersonalization or derealization; paresthesias; hot flashes or chills; chest discomfort or pain; fear of dying and fear of not being in control of oneself or going crazy. Agoraphobia may also develop. Similar to other anxiety disorders, it may be inherited as an autosomal dominant trait.		0	#FFFFFF
D003923	C18.021.001.002.001|C19.003.003.001	Diabetes Mellitus, Lipoatrophic	A type of diabetes mellitus that is characterized by severe INSULIN RESISTANCE and LIPODYSTROPHY. The latter may be generalized, partial, acquired, or congenital (LIPODYSTROPHY, CONGENITAL GENERALIZED).		0	#FFFFFF
D013964	C04.023.007|C19.010.007|C04.015.009|C19.005.009	Thyroid Neoplasms	Tumors or cancer of the THYROID GLAND.		0	#FFFFFF
D013915	C16.030.017|C15.001.002.001.016|C15.001.009.016|C15.001.003.004	Thrombasthenia	A congenital bleeding disorder with prolonged bleeding time, absence of aggregation of platelets in response to most agents, especially ADP, and impaired or absent clot retraction. Platelet membranes are deficient in or have a defect in the glycoprotein IIb-IIIa complex (PLATELET GLYCOPROTEIN GPIIB-IIIA COMPLEX).		0	#FFFFFF
D060825	F03.020.002.002	Cognitive Dysfunction	Diminished or impaired mental and/or intellectual function.		0	#FFFFFF
D016575	C17.002.082.001	Hidradenitis	The inflammation of a sweat gland (usually of the apocrine type). The condition can be idiopathic or occur as a result of or in association with another underlying condition. Neutrophilic eccrine hidradenitis is a relatively rare variant that has been reported in patients undergoing chemotherapy, usually for non-Hodgkin lymphomas or leukemic conditions.		0	#FFFFFF
D018329	C04.046.002.004.003	Nevus, Blue	Usually a benign tumor, that commonly presents as a solitary blue nodule with spindled MELANOCYTES covered by smooth SKIN. Several variants have been identified, one variant being malignant. The blue color is caused by large, densely packed melanocytes deep in the DERMIS of the nevus. In CHILDREN, they usually occur on the BUTTOCKS and LUMBOSACRAL REGION and are referred to as cellular blue nevi. Malignant blue nevi are more commonly found on the SCALP.		0	#FFFFFF
D002288	C04.036.005.001|C04.036.002.001.005	Adenocarcinoma, Mucinous	An adenocarcinoma producing mucin in significant amounts. (From Dorland, 27th ed)		0	#FFFFFF
D014398	C12.014.003|C12.004.005.015.001.034|C01.005.001.011.001.003.002.019.003|C12.010.012.002|C12.010.015.001.034|C12.017.001.034|C12.004.005.012.002	Tuberculosis, Renal	Infection of the KIDNEY with species of MYCOBACTERIUM.		0	#FFFFFF
D055577	C10.014.001.008.001.012.005.002|C18.047.004.002|C16.176.004.002|C18.011.012.005.002|C18.046.011.004.002|C16.181.004.005.002|C18.010.001.012.005.002|C16.032.012.005.002|C18.049.004.005.002	Farber Lipogranulomatosis	A sphingolipidosis subtype that is characterized by the histological appearance of granulomatous deposits in tissues. It results from the accumulation of CERAMIDES in various tissues due to an inherited deficiency of ACID CERAMIDASE.		0	#FFFFFF
D017121	C06.008.021.004|C16.232.004|C18.064.002.004|C17.002.060.004	Porphyria, Hepatoerythropoietic	An autosomal recessive cutaneous porphyria that is due to a deficiency of UROPORPHYRINOGEN DECARBOXYLASE in both the LIVER and the BONE MARROW. Similar to PORPHYRIA CUTANEA TARDA, this disorder is caused by defects in the fifth enzyme in the 8-enzyme biosynthetic pathway of HEME, but is a homozygous enzyme deficiency with less than 10% of the normal enzyme activity. Cutaneous lesions are severe and mutilating.		0	#FFFFFF
D001005	C06.005.004.022.001.001|C06.005.004.022.002.001.001|C06.005.004.013.002.004.001|C04.014.002.002.002.004.001|C06.005.003.003.002.004.001|C06.004.002.003.002.004.001	Anus Neoplasms	Tumors or cancer of the ANAL CANAL.		0	#FFFFFF
D013734	C12.004.005.003.001|C12.003.001|C16.015|C12.010.003.001|C19.006.003.001|C16.076.001	Androgen-Insensitivity Syndrome	A disorder of sexual development transmitted as an X-linked recessive trait. These patients have a karyotype of 46,XY with end-organ resistance to androgen due to mutations in the androgen receptor (RECEPTORS, ANDROGEN) gene. Severity of the defect in receptor quantity or quality correlates with their phenotypes. In these genetic males, the phenotypic spectrum ranges from those with normal female external genitalia, through those with genital ambiguity as in Reifenstein Syndrome, to that of a normal male with INFERTILITY.		0	#FFFFFF
D020431	C10.021.009	Olfactory Nerve Diseases	Diseases of the first cranial (olfactory) nerve, which usually feature anosmia or other alterations in the sense of smell and taste. Anosmia may be associated with NEOPLASMS; CENTRAL NERVOUS SYSTEM INFECTIONS; CRANIOCEREBRAL TRAUMA; inherited conditions; toxins; METABOLIC DISEASES; tobacco abuse; and other conditions. (Adams et al., Principles of Neurology, 6th ed, pp229-31)		0	#FFFFFF
D000742	C15.001.001.002.002.001|C16.016.001	Anemia, Dyserythropoietic, Congenital	A familial disorder characterized by ANEMIA with multinuclear ERYTHROBLASTS, karyorrhexis, asynchrony of nuclear and cytoplasmic maturation, and various nuclear abnormalities of bone marrow erythrocyte precursors (ERYTHROID PRECURSOR CELLS). Type II is the most common of the 3 types; it is often referred to as HEMPAS, based on the Hereditary Erythroblast Multinuclearity with Positive Acidified Serum test.		0	#FFFFFF
D012872	C17.002.079	Skin Diseases, Vesiculobullous	Skin diseases characterized by local or general distributions of blisters. They are classified according to the site and mode of blister formation. Lesions can appear spontaneously or be precipitated by infection, trauma, or sunlight. Etiologies include immunologic and genetic factors. (From Scientific American Medicine, 1990)		0	#FFFFFF
D005348	C17.002.007.003	Fibrocystic Breast Disease	A common and benign breast disease characterized by varying degree of fibrocystic changes in the breast tissue. There are three major patterns of morphological changes, including FIBROSIS, formation of CYSTS, and proliferation of glandular tissue (adenosis). The fibrocystic breast has a dense irregular, lumpy, bumpy consistency.		0	#FFFFFF
D014252	C01.032.007.003.003.005.003	Trichostrongyloidiasis	Infection by roundworms of the superfamily TRICHOSTRONGYLOIDEA, including the genera TRICHOSTRONGYLUS; OSTERTAGIA; Cooperia, HAEMONCHUS; Nematodirus, Hyostrongylus, and DICTYOCAULUS.		0	#FFFFFF
D011052	C01.054.013.014.003.005.001|C10.049.007.001|C01.012.011.003.001|C10.014.007.005.003.001|C10.048.004.003.001|C10.014.002.011.003.001	Poliomyelitis, Bulbar	A form of paralytic poliomyelitis affecting neurons of the MEDULLA OBLONGATA of the brain stem. Clinical features include impaired respiration, HYPERTENSION, alterations of vasomotor control, and dysphagia. Weakness and atrophy of the limbs and trunk due to spinal cord involvement is usually associated. (From Adams et al., Principles of Neurology, 6th ed, p765)		0	#FFFFFF
D003877	C17.002.074.002|C17.002.010.005	Dermatitis, Contact	A type of acute or chronic skin reaction in which sensitivity is manifested by reactivity to materials or substances coming in contact with the skin. It may involve allergic or non-allergic mechanisms.		0	#FFFFFF
D011537	C17.002.062|C23.178	Pruritus	An intense itching sensation that produces the urge to rub or scratch the skin to obtain relief.		0	#FFFFFF
D060368	C17.002.075.001.006|C01.005.002.007.006|C01.042.002.006	Lobomycosis	A chronic, fungal, subcutaneous infection endemic in rural regions in South America and Central America. The causal organism is Lacazia labol.		0	#FFFFFF
D001437	C01.049.001|C12.010.015.005.001|C12.004.005.015.005.001|C12.017.005.001	Bacteriuria	The presence of bacteria in the urine which is normally bacteria-free. These bacteria are from the URINARY TRACT and are not contaminants of the surrounding tissues. Bacteriuria can be symptomatic or asymptomatic. Significant bacteriuria is an indicator of urinary tract infection.		0	#FFFFFF
D016905	C01.005.001.010	Gram-Negative Bacterial Infections	Infections caused by bacteria that show up as pink (negative) when treated by the gram-staining method.		0	#FFFFFF
D016881	C01.005.002.014	Microsporidiosis	Infections with FUNGI of the phylum MICROSPORIDIA.		0	#FFFFFF
D006966	C19.008.003.003|C10.014.001.023.004.002.002	Hyperprolactinemia	Increased levels of PROLACTIN in the BLOOD, which may be associated with AMENORRHEA and GALACTORRHEA. Relatively common etiologies include PROLACTINOMA, medication effect, KIDNEY FAILURE, granulomatous diseases of the PITUITARY GLAND, and disorders which interfere with the hypothalamic inhibition of prolactin release. Ectopic (non-pituitary) production of prolactin may also occur. (From Joynt, Clinical Neurology, 1992, Ch36, pp77-8)		0	#FFFFFF
D004749	C01.032.013.001.004	Entamoebiasis	Infection with amoebae of the genus ENTAMOEBA. Infection with E. histolytica causes DYSENTERY, AMEBIC and LIVER ABSCESS, AMEBIC.		0	#FFFFFF
D003074	C08.007.025	Solitary Pulmonary Nodule	A single lung lesion that is characterized by a small round mass of tissue, usually less than 1 cm in diameter, and can be detected by chest radiography. A solitary pulmonary nodule can be associated with neoplasm, tuberculosis, cyst, or other anomalies in the lung, the CHEST WALL, or the PLEURA.		0	#FFFFFF
D014854	C23.147.003.001.001.001|C10.014.001.014.002.001.001.001|C14.005.010.011.001.001.001|C14.005.010.002.001.001.001|C10.014.001.014.012.001.001.001|C23.115.002.001.001.001	Lateral Medullary Syndrome	INFARCTION of the dorsolateral aspect of MEDULLA OBLONGATA in the BRAIN STEM. It is caused by occlusion of the VERTEBRAL ARTERY and/or the posterior inferior cerebellar artery. Clinical manifestations vary with the size of infarction, but may include loss of pain and temperature sensation in the ipsilateral face and contralateral body below the chin; ipsilateral HORNER SYNDROME; ipsilateral ATAXIA; DYSARTHRIA; VERTIGO; nausea, hiccup; dysphagia; and VOCAL CORD PARALYSIS. (From Adams et al., Principles of Neurology, 6th ed, p801)		0	#FFFFFF
D046608	C23.065.010|C10.024.010	Synkinesis	An involuntary movement accompanying a volitional movement. It often refers to facial movements that accompany FACIAL PARALYSIS.		0	#FFFFFF
D017543	C14.005.001.008	Iliac Aneurysm	Abnormal balloon- or sac-like dilatation in the wall of any one of the iliac arteries including the common, the internal, or the external ILIAC ARTERY.		0	#FFFFFF
D007172	C12.006.009.005|C12.006.007|F03.015|C12.010.005.005	Erectile Dysfunction	The inability in the male to have a PENILE ERECTION due to psychological or organ dysfunction.		0	#FFFFFF
D019310	C15.002.010	Pseudolymphoma	A group of disorders having a benign course but exhibiting clinical and histological features suggestive of malignant lymphoma. Pseudolymphoma is characterized by a benign infiltration of lymphoid cells or histiocytes which microscopically resembles a malignant lymphoma. (From Dorland, 28th ed & Stedman, 26th ed)		0	#FFFFFF
D007006	C19.006.006	Hypogonadism	Condition resulting from deficient gonadal functions, such as GAMETOGENESIS and the production of GONADAL STEROID HORMONES. It is characterized by delay in GROWTH, germ cell maturation, and development of secondary sex characteristics. Hypogonadism can be due to a deficiency of GONADOTROPINS (hypogonadotropic hypogonadism) or due to primary gonadal failure (hypergonadotropic hypogonadism).		0	#FFFFFF
D000435	F03.003	Alcoholic Intoxication	An acute brain syndrome which results from the excessive ingestion of ETHANOL or ALCOHOLIC BEVERAGES.		0	#FFFFFF
D011512	C01.005.001.010.013.005	Proteus Infections	Infections with bacteria of the genus PROTEUS.		0	#FFFFFF
D009959	C09.006.003.003|C07.008.003.003|C04.023.004.004.003|C09.005.005.003	Oropharyngeal Neoplasms	Tumors or cancer of the OROPHARYNX.		0	#FFFFFF
D007818	C08.006|C09.003	Laryngeal Diseases	Pathological processes involving any part of the LARYNX which coordinates many functions such as voice production, breathing, swallowing, and coughing.		0	#FFFFFF
D014545	C23.033.003|C12.017.007.003|C12.004.005.015.007.003|C12.010.015.007.003	Urinary Calculi	Low-density crystals or stones in any part of the URINARY TRACT. Their chemical compositions often include CALCIUM OXALATE, magnesium ammonium phosphate (struvite), CYSTINE, or URIC ACID.		0	#FFFFFF
D012497	C18.011.012.005.003.001.001|C18.047.004.003.001.001|C18.046.011.004.003.001.001|C10.014.001.008.001.012.005.003.001.001|C16.176.004.003.001.001|C16.032.012.005.003.001.001|C18.010.001.012.005.003.001.001|C16.181.004.005.003.001.001|C18.049.004.005.003.001.001	Sandhoff Disease	An autosomal recessive neurodegenerative disorder characterized by an accumulation of G(M2) GANGLIOSIDE in neurons and other tissues. It is caused by mutation in the common beta subunit of HEXOSAMINIDASE A and HEXOSAMINIDASE B. Thus this disease is also known as the O variant since both hexosaminidase A and B are missing. Clinically, it is indistinguishable from TAY-SACHS DISEASE.		0	#FFFFFF
D000071072	C10.014.001.001	Acute Febrile Encephalopathy	Acute onset of fever accompanied by seizures, cerebral inflammation and a change in mental status (e.g., confusion, disorientation, and coma).		0	#FFFFFF
D002819	C23.065.004|C10.014.005.003.001|C10.024.004	Chorea	Involuntary, forcible, rapid, jerky movements that may be subtle or become confluent, markedly altering normal patterns of movement. Hypotonia and pendular reflexes are often associated. Conditions which feature recurrent or persistent episodes of chorea as a primary manifestation of disease are referred to as CHOREATIC DISORDERS. Chorea is also a frequent manifestation of BASAL GANGLIA DISEASES.		0	#FFFFFF
D006623	C16.051.006|C10.076|C14.005.004.003	von Hippel-Lindau Disease	An autosomal dominant disorder caused by mutations in a tumor suppressor gene. This syndrome is characterized by abnormal growth of small blood vessels leading to a host of neoplasms. They include HEMANGIOBLASTOMA in the RETINA; CEREBELLUM; and SPINAL CORD; PHEOCHROMOCYTOMA; pancreatic tumors; and renal cell carcinoma (see CARCINOMA, RENAL CELL). Common clinical signs include HYPERTENSION and neurological dysfunctions.		0	#FFFFFF
D002281	C04.036.004.002|C04.036.002.005	Carcinoma, Basosquamous	A skin carcinoma that histologically exhibits both basal and squamous elements. (From Dorland, 27th ed)		0	#FFFFFF
D015776	C17.002.039.006.001|C17.002.038.001|C16.160.001	Keratoderma, Palmoplantar, Diffuse	An autosomal dominant disorder characterized by a widely distributed, well-demarcated hyperkeratosis of the palms and soles. There is more than one genotypically distinct form, each of which is clinically similar but histologically distinguishable. Diffuse palmoplantar keratoderma is distinct from palmoplantar keratoderma (KERATODERMA, PALMOPLANTAR), as the former exhibits autosomal dominant inheritance and hyperhidrosis is frequently present.		0	#FFFFFF
D002430	C06.005.004.001.002|C06.005.003.003.001|C06.004.002.003.001|C04.014.002.002.001|C06.005.004.013.001	Cecal Neoplasms	Tumors or cancer of the CECUM.		0	#FFFFFF
D014253	C01.032.007.003.003.005.003.003	Trichostrongylosis	Infestation with nematode worms of the genus TRICHOSTRONGYLUS. Man and animals become infected by swallowing larvae, usually with contaminated food or drink, although the larvae may penetrate human skin.		0	#FFFFFF
D018880	C23.018.005.001|C14.003.001.006.001|C14.003.003.002.001	Atrial Premature Complexes	A type of cardiac arrhythmia with premature atrial contractions or beats caused by signals originating from ectopic atrial sites. The ectopic signals may or may not conduct to the HEART VENTRICLES. Atrial premature complexes are characterized by premature P waves on ECG which are different in configuration from the P waves generated by the normal pacemaker complex in the SINOATRIAL NODE.		0	#FFFFFF
D020246	C14.005.014.003.004	Venous Thrombosis	The formation or presence of a blood clot (THROMBUS) within a vein.		0	#FFFFFF
D014845	C12.004.005.005.008|C12.006.008.008	Vulvar Diseases	Pathological processes of the VULVA.		0	#FFFFFF
D015467	C15.001.005.005.004|C23.123	Leukemia, Neutrophilic, Chronic	A rare myeloproliferative disorder that is characterized by a sustained, mature neutrophilic leukocytosis. No monocytosis, EOSINOPHILIA, or basophilia is present, nor is there a PHILADELPHIA CHROMOSOME or bcr-abl fusion gene (GENES, ABL).		0	#FFFFFF
