ATC code	Level	Label	Comment	Counts [COVID-19 drugs]	Color
M03BX55	5	thiocolchicoside, combinations		0	#FFFFFF
S01LA02	5	anecortave		0	#FFFFFF
B01AF04	5	betrixaban		0	#FFFFFF
N05CH02	5	ramelteon		0	#FFFFFF
R03CC05	5	hexoprenaline		0	#FFFFFF
C07AB07	5	bisoprolol		0	#FFFFFF
L01DC04	5	ixabepilone		0	#FFFFFF
H02AB06	5	prednisolone		0	#FFFFFF
C01DX03	5	oxyfedrine		0	#FFFFFF
L01AD08	5	uramustine		0	#FFFFFF
P02BX03	5	stibophen		0	#FFFFFF
L01XX27	5	arsenic trioxide		0	#FFFFFF
D07AB09	5	triamcinolone		0	#FFFFFF
C01CA02	5	isoprenaline		0	#FFFFFF
S01BC03	5	diclofenac		0	#FFFFFF
A06AX05	5	prucalopride		0	#FFFFFF
C03AA08	5	methyclothiazide		0	#FFFFFF
L03AB05	5	interferon alfa-2b		0	#FFFFFF
N07BA04	5	cytisine		0	#FFFFFF
A07BC05	5	diosmectite		0	#FFFFFF
R03AC17	5	bitolterol		0	#FFFFFF
M02AA14	5	fentiazac		0	#FFFFFF
L03AX15	5	mifamurtide		0	#FFFFFF
J01DH02	5	meropenem		0	#FFFFFF
B02AA01	5	aminocaproic acid		0	#FFFFFF
V04CK03	5	bentiromide		0	#FFFFFF
L04AC11	5	siltuximab		0	#FFFFFF
N06BX01	5	meclofenoxate		0	#FFFFFF
G04BE09	5	vardenafil		0	#FFFFFF
V03AB23	5	acetylcysteine		0	#FFFFFF
N06BA10	5	fenetylline		0	#FFFFFF
S01BA05	5	triamcinolone		0	#FFFFFF
S01XA02	5	retinol		0	#FFFFFF
D07AC16	5	hydrocortisone aceponate		0	#FFFFFF
G02AD02	5	dinoprostone		0	#FFFFFF
R03DC01	5	zafirlukast		0	#FFFFFF
R03AC08	5	pirbuterol		0	#FFFFFF
N04BD01	5	selegiline		0	#FFFFFF
C01AA07	5	deslanoside		0	#FFFFFF
L01EX08	5	lenvatinib		0	#FFFFFF
A02BX09	5	acetoxolone		0	#FFFFFF
A11DA03	5	benfotiamine		0	#FFFFFF
R06AB06	5	dexbrompheniramine		0	#FFFFFF
D01AE11	5	haloprogin		0	#FFFFFF
J01DB07	5	cefatrizine		0	#FFFFFF
J01DF02	5	carumonam		0	#FFFFFF
G04BX10	5	succinimide		0	#FFFFFF
A02AB06	5	aloglutamol		0	#FFFFFF
A04AD14	5	rolapitant		0	#FFFFFF
M01AB12	5	difenpiramide		0	#FFFFFF
C07AA01	5	alprenolol		0	#FFFFFF
R01AD04	5	flunisolide		0	#FFFFFF
G02AD04	5	carboprost		0	#FFFFFF
A02BC05	5	esomeprazole		0	#FFFFFF
R06AB03	5	dimetindene		0	#FFFFFF
C01DX06	5	hexobendine		0	#FFFFFF
A07EA05	5	tixocortol		0	#FFFFFF
C03BA12	5	clorexolone		0	#FFFFFF
L01BC53	5	tegafur, combinations		0	#FFFFFF
D11AX16	5	eflornithine		0	#FFFFFF
N01BB01	5	bupivacaine		0	#FFFFFF
N06AA14	5	melitracen		0	#FFFFFF
M02AA19	5	flurbiprofen		0	#FFFFFF
R01AA10	5	metizoline		0	#FFFFFF
S03BA03	5	betamethasone		0	#FFFFFF
G04BX03	5	acetohydroxamic acid		0	#FFFFFF
M01AC01	5	piroxicam		0	#FFFFFF
L02BB06	5	darolutamide		0	#FFFFFF
V03AB13	5	obidoxime		0	#FFFFFF
V08CB01	5	ferumoxsil		0	#FFFFFF
N04AA12	5	tropatepine		0	#FFFFFF
J01EA01	5	trimethoprim		0	#FFFFFF
L02BG02	5	formestane		0	#FFFFFF
C03DB01	5	amiloride		0	#FFFFFF
C01EB10	5	adenosine		0	#FFFFFF
A02BC06	5	dexlansoprazole		0	#FFFFFF
S01AE06	5	gatifloxacin		0	#FFFFFF
G03DC06	5	etynodiol		0	#FFFFFF
C09AA05	5	ramipril		0	#FFFFFF
C10AX06	5	omega-3-triglycerides incl. other esters and acids		0	#FFFFFF
D01AA02	5	natamycin		0	#FFFFFF
R05DA03	5	hydrocodone		0	#FFFFFF
L01BC09	5	floxuridine		0	#FFFFFF
R02AA05	5	chlorhexidine		0	#FFFFFF
R03BA03	5	flunisolide		0	#FFFFFF
N06AX27	5	esketamine		0	#FFFFFF
R07AB03	5	pentetrazol		0	#FFFFFF
N05BA08	5	bromazepam		0	#FFFFFF
G01AA01	5	nystatin		0	#FFFFFF
J01DB11	5	cefroxadine		0	#FFFFFF
C01BD07	5	dronedarone		0	#FFFFFF
N01AX04	5	propanidid		0	#FFFFFF
A10AE01	5	insulin (human)		0	#FFFFFF
S01BC11	5	bromfenac		0	#FFFFFF
S01XA24	5	cenegermin		0	#FFFFFF
J01FA14	5	flurithromycin		0	#FFFFFF
C10AX12	5	lomitapide		0	#FFFFFF
B01AD06	5	brinase		0	#FFFFFF
A04AA02	5	granisetron		0	#FFFFFF
D03BA02	5	collagenase		0	#FFFFFF
N01AX63	5	nitrous oxide, combinations		0	#FFFFFF
A06AD61	5	lactulose, combinations		0	#FFFFFF
R06AA10	5	trimethobenzamide		0	#FFFFFF
N02AA05	5	oxycodone		0	#FFFFFF
N02CD02	5	galcanezumab		0	#FFFFFF
S01EB10	5	paraoxon		0	#FFFFFF
S01XA21	5	mercaptamine		0	#FFFFFF
J01DB05	5	cefadroxil		0	#FFFFFF
G03XB02	5	ulipristal		0	#FFFFFF
R05CB08	5	domiodol		0	#FFFFFF
S01ED04	5	metipranolol		0	#FFFFFF
D02BA01	5	aminobenzoic acid		0	#FFFFFF
C08EX02	5	perhexiline		0	#FFFFFF
J01AA15	5	omadacycline		0	#FFFFFF
N05CE03	5	pyrithyldione		0	#FFFFFF
D09AA10	5	clioquinol		0	#FFFFFF
P01BE04	5	artemotil		0	#FFFFFF
A10BB04	5	glibornuride		0	#FFFFFF
G03DB06	5	chlormadinone		0	#FFFFFF
S01AE01	5	ofloxacin		0	#FFFFFF
C03CD01	5	muzolimine		0	#FFFFFF
G04BE06	5	moxisylyte		0	#FFFFFF
C01DX13	5	efloxate		0	#FFFFFF
L01XC35	5	tafasitamab		0	#FFFFFF
S01BA15	5	fluocinolone acetonide		0	#FFFFFF
G03AD02	5	ulipristal		0	#FFFFFF
B01AC04	5	clopidogrel		0	#FFFFFF
L03AA15	5	balugrastim		0	#FFFFFF
M05BX05	5	burosumab		0	#FFFFFF
P01BE03	5	artesunate		0	#FFFFFF
C01DX18	5	linsidomine		0	#FFFFFF
C02DC01	5	minoxidil		0	#FFFFFF
N05AE05	5	lurasidone		0	#FFFFFF
N04BC06	5	cabergoline		0	#FFFFFF
R05CB14	5	neltenexine		0	#FFFFFF
C01DB01	5	flosequinan		0	#FFFFFF
A01AB18	5	clotrimazole		0	#FFFFFF
L01EK02	5	cediranib		0	#FFFFFF
N05BA56	5	lorazepam, combinations		0	#FFFFFF
N06AX09	5	viloxazine		0	#FFFFFF
S01AA14	5	benzylpenicillin		0	#FFFFFF
G02CB03	5	cabergoline		0	#FFFFFF
N05AC04	5	pipotiazine		0	#FFFFFF
J01CA05	5	carindacillin		0	#FFFFFF
S01AA10	5	natamycin		0	#FFFFFF
C05AA01	5	hydrocortisone		0	#FFFFFF
C03AA02	5	hydroflumethiazide		0	#FFFFFF
C01EB21	5	regadenoson		0	#FFFFFF
L01CA03	5	vindesine		0	#FFFFFF
J04AB03	5	rifamycin		0	#FFFFFF
V03AE03	5	lanthanum carbonate		0	#FFFFFF
N02BB02	5	metamizole sodium		0	#FFFFFF
A12CD02	5	sodium monofluorophosphate		0	#FFFFFF
C08CA15	5	benidipine		0	#FFFFFF
V08AB12	5	ioxilan		0	#FFFFFF
R01AX07	5	hexamidine		0	#FFFFFF
S01XA25	5	lifitegrast		0	#FFFFFF
C10AX01	5	dextrothyroxine		0	#FFFFFF
N05AB07	5	acetophenazine		0	#FFFFFF
A10AE05	5	insulin detemir		0	#FFFFFF
V03AB19	5	physostigmine		0	#FFFFFF
B05CB03	5	magnesium citrate		0	#FFFFFF
J04BA02	5	dapsone		0	#FFFFFF
G03AC04	5	quingestanol		0	#FFFFFF
R05DB23	5	piperidione		0	#FFFFFF
N03AX09	5	lamotrigine		0	#FFFFFF
N04AA11	5	bornaprine		0	#FFFFFF
V03AB14	5	protamine		0	#FFFFFF
N02AF02	5	nalbuphine		0	#FFFFFF
A02AA05	5	magnesium silicate		0	#FFFFFF
R07AB05	5	bemegride		0	#FFFFFF
C01CA24	5	epinephrine		0	#FFFFFF
L03AA13	5	pegfilgrastim		0	#FFFFFF
S01AD06	5	vidarabine		0	#FFFFFF
A03AA04	5	mebeverine		0	#FFFFFF
R03AC04	5	fenoterol		0	#FFFFFF
C10AD02	5	nicotinic acid		0	#FFFFFF
M03BA03	5	methocarbamol		0	#FFFFFF
C07AA23	5	penbutolol		0	#FFFFFF
N02CC05	5	almotriptan		0	#FFFFFF
R05DB13	5	butamirate		0	#FFFFFF
D03BA52	5	collagenase, combinations		0	#FFFFFF
N05CF03	5	zaleplon		0	#FFFFFF
N02BB05	5	nifenazone		0	#FFFFFF
R01AC03	5	azelastine		0	#FFFFFF
N05CA03	5	butobarbital		0	#FFFFFF
B05XA12	5	zinc chloride		0	#FFFFFF
G04BE08	5	tadalafil		0	#FFFFFF
J05AJ03	5	dolutegravir		0	#FFFFFF
C03BA10	5	xipamide		0	#FFFFFF
J01CG02	5	tazobactam		0	#FFFFFF
C10AC01	5	colestyramine		0	#FFFFFF
L03AA09	5	sargramostim		0	#FFFFFF
R01AD11	5	triamcinolone		0	#FFFFFF
J01MB04	5	pipemidic acid		0	#FFFFFF
J01MA04	5	enoxacin		0	#FFFFFF
A16AX16	5	givosiran		0	#FFFFFF
L01XX36	5	oblimersen		0	#FFFFFF
N03AX30	5	beclamide		0	#FFFFFF
N05CM10	5	hexapropymate		0	#FFFFFF
B03AB02	5	saccharated iron oxide		0	#FFFFFF
A07DA52	5	morphine, combinations		0	#FFFFFF
G03HA01	5	cyproterone		0	#FFFFFF
A03AX04	5	pinaverium		0	#FFFFFF
N01AH01	5	fentanyl		0	#FFFFFF
N06BA12	5	lisdexamfetamine		0	#FFFFFF
C02CC05	5	guanoclor		0	#FFFFFF
N05CA19	5	thiopental		0	#FFFFFF
N06AX22	5	agomelatine		0	#FFFFFF
C03CA04	5	torasemide		0	#FFFFFF
D07AC21	5	ulobetasol		0	#FFFFFF
A06AD18	5	sorbitol		0	#FFFFFF
S02BA07	5	betamethasone		0	#FFFFFF
J01DF01	5	aztreonam		0	#FFFFFF
A16AX07	5	sapropterin		0	#FFFFFF
R03CC12	5	bambuterol		0	#FFFFFF
C02CC02	5	guanethidine		0	#FFFFFF
C01CA27	5	droxidopa		0	#FFFFFF
V08AA07	5	acetrizoic acid		0	#FFFFFF
A08AX01	5	rimonabant		0	#FFFFFF
B02BC01	5	absorbable gelatin sponge		0	#FFFFFF
N02BA04	5	sodium salicylate		0	#FFFFFF
A06AD15	5	macrogol		0	#FFFFFF
P01AB01	5	metronidazole		0	#FFFFFF
J01CA12	5	piperacillin		0	#FFFFFF
N02BB01	5	phenazone		0	#FFFFFF
S01GA01	5	naphazoline		0	#FFFFFF
N06AA01	5	desipramine		0	#FFFFFF
R02AX01	5	flurbiprofen		0	#FFFFFF
N05CM05	5	scopolamine		0	#FFFFFF
A03AB04	5	penthienate		0	#FFFFFF
B01AA02	5	phenindione		0	#FFFFFF
A06AB03	5	dantron		0	#FFFFFF
D10AD04	5	isotretinoin		0	#FFFFFF
N05CE02	5	methyprylon		0	#FFFFFF
N04AA05	5	profenamine		0	#FFFFFF
N05BA03	5	medazepam		0	#FFFFFF
C04AX02	5	phenoxybenzamine		0	#FFFFFF
M01AA03	5	oxyphenbutazone		0	#FFFFFF
N05CM15	5	methylpentynol		0	#FFFFFF
N05CA15	5	methohexital		0	#FFFFFF
V03AE07	5	calcium acetate		0	#FFFFFF
A10BK06	5	sotagliflozin		0	#FFFFFF
B01AD03	5	anistreplase		0	#FFFFFF
A14AA04	5	metenolone		0	#FFFFFF
A07BC01	5	pectin		0	#FFFFFF
N05AX14	5	iloperidone		0	#FFFFFF
A07EA01	5	prednisolone		0	#FFFFFF
N05AL01	5	sulpiride		0	#FFFFFF
J01DC09	5	cefmetazole		0	#FFFFFF
C03BA05	5	mefruside		0	#FFFFFF
A02BA05	5	niperotidine		0	#FFFFFF
S01AX16	5	picloxydine		0	#FFFFFF
L03AX17	5	sipuleucel-T		0	#FFFFFF
M05BA07	5	risedronic acid		0	#FFFFFF
N06AB08	5	fluvoxamine		0	#FFFFFF
M01AG01	5	mefenamic acid		0	#FFFFFF
L04AA21	5	efalizumab		0	#FFFFFF
D08AA03	5	euflavine		0	#FFFFFF
C08EA01	5	fendiline		0	#FFFFFF
C03BA04	5	chlortalidone		0	#FFFFFF
C07AA27	5	cloranolol		0	#FFFFFF
H01AX01	5	pegvisomant		0	#FFFFFF
P01AX52	5	emetine, combinations		0	#FFFFFF
J01FA03	5	midecamycin		0	#FFFFFF
L01XC21	5	ramucirumab		0	#FFFFFF
S01AX08	5	hexamidine		0	#FFFFFF
R02AA14	5	oxyquinoline		0	#FFFFFF
R03AC06	5	hexoprenaline		0	#FFFFFF
D04AA22	5	isothipendyl		0	#FFFFFF
R03CB51	5	isoprenaline, combinations		0	#FFFFFF
N02BA71	5	acetylsalicylic acid, combinations with psycholeptics		0	#FFFFFF
S01EE03	5	bimatoprost		0	#FFFFFF
N05BX03	5	etifoxine		0	#FFFFFF
N05AL04	5	remoxipride		0	#FFFFFF
S01GA02	5	tetryzoline		0	#FFFFFF
H02AB07	5	prednisone		0	#FFFFFF
M05BX01	5	ipriflavone		0	#FFFFFF
P02CE01	5	levamisole		0	#FFFFFF
A06AD13	5	sodium sulfate		0	#FFFFFF
D06AX13	5	retapamulin		0	#FFFFFF
N03AX11	5	topiramate		0	#FFFFFF
R06AX18	5	acrivastine		0	#FFFFFF
P01CD01	5	melarsoprol		0	#FFFFFF
B06AC02	5	icatibant		0	#FFFFFF
G01AC30	5	oxyquinoline		0	#FFFFFF
H02AA02	5	fludrocortisone		0	#FFFFFF
J01CE02	5	phenoxymethylpenicillin		0	#FFFFFF
J05AG01	5	nevirapine		0	#FFFFFF
A14AA06	5	quinbolone		0	#FFFFFF
C08CA06	5	nimodipine		0	#FFFFFF
A01AB04	5	amphotericin B		0	#FFFFFF
L04AC16	5	guselkumab		0	#FFFFFF
R05CA02	5	potassium iodide		0	#FFFFFF
N05CM18	5	dexmedetomidine		0	#FFFFFF
G03GA06	5	follitropin beta		0	#FFFFFF
C03BA11	5	indapamide		0	#FFFFFF
D08AE04	5	triclosan		0	#FFFFFF
D06AA01	5	demeclocycline		0	#FFFFFF
A07AA03	5	natamycin		0	#FFFFFF
A12BA01	5	potassium chloride		0	#FFFFFF
M02AA22	5	suxibuzone		0	#FFFFFF
J05AD02	5	fosfonet		0	#FFFFFF
G03AC06	5	medroxyprogesterone		0	#FFFFFF
B05XA07	5	calcium chloride		0	#FFFFFF
N07BC01	5	buprenorphine		0	#FFFFFF
H01CA01	5	gonadorelin		0	#FFFFFF
M05BX06	5	romosozumab		0	#FFFFFF
N05BB02	5	captodiame		0	#FFFFFF
A04AD11	5	nabilone		0	#FFFFFF
A02BA01	5	cimetidine		0	#FFFFFF
L01CE04	5	belotecan		0	#FFFFFF
P02BX04	5	triclabendazole		0	#FFFFFF
S02AA14	5	gentamicin		0	#FFFFFF
S02BA01	5	hydrocortisone		0	#FFFFFF
G03AC05	5	megestrol		0	#FFFFFF
J01GB06	5	amikacin		0	#FFFFFF
J01AA12	5	tigecycline		0	#FFFFFF
S01EC03	5	dorzolamide		0	#FFFFFF
L04AX01	5	azathioprine		0	#FFFFFF
G01AC01	5	diiodohydroxyquinoline		0	#FFFFFF
M02AX05	5	idrocilamide		0	#FFFFFF
G04BD08	5	solifenacin		0	#FFFFFF
N05CA06	5	secobarbital		0	#FFFFFF
D08AH03	5	oxyquinoline		0	#FFFFFF
C03CC01	5	etacrynic acid		0	#FFFFFF
P02CA06	5	fenbendazole		0	#FFFFFF
P01BD01	5	pyrimethamine		0	#FFFFFF
G03DB08	5	dienogest		0	#FFFFFF
N05CA08	5	vinylbital		0	#FFFFFF
J01ED01	5	sulfadimethoxine		0	#FFFFFF
A10BK02	5	canagliflozin		0	#FFFFFF
J01DC06	5	cefonicid		0	#FFFFFF
R02AD01	5	benzocaine		0	#FFFFFF
M01AC56	5	meloxicam, combinations		0	#FFFFFF
M04AB01	5	probenecid		0	#FFFFFF
L01AB02	5	treosulfan		0	#FFFFFF
V08AC01	5	iodoxamic acid		0	#FFFFFF
J01MA03	5	pefloxacin		0	#FFFFFF
G03AC03	5	levonorgestrel		0	#FFFFFF
B06AC03	5	ecallantide		0	#FFFFFF
C05AA04	5	prednisolone		0	#FFFFFF
B01AC11	5	iloprost		0	#FFFFFF
D08AJ02	5	cetrimonium		0	#FFFFFF
L01XC40	5	dostarlimab		0	#FFFFFF
D08AL01	5	silver nitrate		0	#FFFFFF
N05CD14	5	remimazolam		0	#FFFFFF
L04AB03	5	afelimomab		0	#FFFFFF
R06AE09	5	levocetirizine		0	#FFFFFF
N03AB54	5	mephenytoin, combinations		0	#FFFFFF
B02AB05	5	ulinastatin		0	#FFFFFF
J01DD11	5	cefpiramide		0	#FFFFFF
B06AX01	5	crizanlizumab		0	#FFFFFF
C05BA53	5	heparin, combinations		0	#FFFFFF
D06AX02	5	chloramphenicol		0	#FFFFFF
J04AK04	5	morinamide		0	#FFFFFF
L01XC27	5	olaratumab		0	#FFFFFF
L01EX01	5	sunitinib		0	#FFFFFF
A16AX02	5	anethole trithione		0	#FFFFFF
D10AD53	5	adapalene, combinations		0	#FFFFFF
C01CA21	5	cafedrine		0	#FFFFFF
S01CB02	5	prednisolone		0	#FFFFFF
V08AB04	5	iopamidol		0	#FFFFFF
N05CD04	5	estazolam		0	#FFFFFF
J02AX06	5	anidulafungin		0	#FFFFFF
N06AA03	5	imipramine oxide		0	#FFFFFF
S01AB01	5	sulfamethizole		0	#FFFFFF
J01XX01	5	fosfomycin		0	#FFFFFF
D08AX06	5	potassium permanganate		0	#FFFFFF
R05DB21	5	cloperastine		0	#FFFFFF
A02BB01	5	misoprostol		0	#FFFFFF
N05BA24	5	bentazepam		0	#FFFFFF
N05CH03	5	tasimelteon		0	#FFFFFF
S01FA02	5	scopolamine		0	#FFFFFF
B01AF01	5	rivaroxaban		0	#FFFFFF
C04AX27	5	cinepazide		0	#FFFFFF
B01AC22	5	prasugrel		0	#FFFFFF
A12AA05	5	calcium lactate		0	#FFFFFF
R02AB30	5	gramicidin		0	#FFFFFF
D05AX01	5	fumaric acid		0	#FFFFFF
A16AX18	5	lumasiran		0	#FFFFFF
N05AX12	5	aripiprazole		0	#FFFFFF
C02AC04	5	tolonidine		0	#FFFFFF
C07AB08	5	celiprolol		0	#FFFFFF
H02CA02	5	osilodrostat		0	#FFFFFF
M03BA01	5	phenprobamate		0	#FFFFFF
C07AB04	5	acebutolol		0	#FFFFFF
C01CA22	5	arbutamine		0	#FFFFFF
N02BA10	5	benorilate		0	#FFFFFF
N04AA09	5	phenglutarimide		0	#FFFFFF
L01XC18	5	pembrolizumab		0	#FFFFFF
A16AB09	5	idursulfase		0	#FFFFFF
P01BB51	5	proguanil, combinations		0	#FFFFFF
N05CD10	5	quazepam		0	#FFFFFF
L02AB01	5	megestrol		0	#FFFFFF
N04BB01	5	amantadine		0	#FFFFFF
C10AX14	5	alirocumab		0	#FFFFFF
A01AB07	5	oxyquinoline		0	#FFFFFF
M02AA03	5	clofezone		0	#FFFFFF
L04AC08	5	canakinumab		0	#FFFFFF
B03AA02	5	ferrous fumarate		0	#FFFFFF
V03AB15	5	naloxone		0	#FFFFFF
S02AA07	5	neomycin		0	#FFFFFF
N02AB02	5	pethidine		0	#FFFFFF
N05AD06	5	bromperidol		0	#FFFFFF
N03AF03	5	rufinamide		0	#FFFFFF
A04AD05	5	metopimazine		0	#FFFFFF
A05BA03	5	silymarin		0	#FFFFFF
L03AA03	5	molgramostim		0	#FFFFFF
L01EX14	5	entrectinib		0	#FFFFFF
J01FA11	5	miocamycin		0	#FFFFFF
B01AB01	5	heparin		0	#FFFFFF
A12CC10	5	magnesium oxide		0	#FFFFFF
D11AX08	5	tiratricol		0	#FFFFFF
J04AC51	5	isoniazid, combinations		0	#FFFFFF
S01EB08	5	aceclidine		0	#FFFFFF
L01XX53	5	vosaroxin		0	#FFFFFF
D06BB08	5	ibacitabine		0	#FFFFFF
D04AA16	5	pheniramine		0	#FFFFFF
A10AB06	5	insulin glulisine		0	#FFFFFF
D10AB05	5	mesulfen		0	#FFFFFF
C07AB06	5	bevantolol		0	#FFFFFF
N02BA05	5	salicylamide		0	#FFFFFF
N05AF03	5	chlorprothixene		0	#FFFFFF
C02DB01	5	dihydralazine		0	#FFFFFF
C02DD01	5	nitroprusside		0	#FFFFFF
N02BB04	5	propyphenazone		0	#FFFFFF
C04AX32	5	fasudil		0	#FFFFFF
P03AA04	5	disulfiram		0	#FFFFFF
R06AX26	5	fexofenadine		0	#FFFFFF
A03AB11	5	poldine		0	#FFFFFF
G03AD01	5	levonorgestrel		0	#FFFFFF
C01DX05	5	carbocromen		0	#FFFFFF
L01CE02	5	irinotecan		0	#FFFFFF
C02KX02	5	ambrisentan		0	#FFFFFF
C01DX22	5	vericiguat		0	#FFFFFF
D02BB02	5	afamelanotide		0	#FFFFFF
L01XC22	5	necitumumab		0	#FFFFFF
R03AB03	5	orciprenaline		0	#FFFFFF
D03BA03	5	bromelains		0	#FFFFFF
B02BC08	5	calcium alginate		0	#FFFFFF
