MeSH ID	Tree ID	Name	Description	Comment	Counts [Template Drug]	Color
D000069279	C10.228.140.490.125	Drug Resistant Epilepsy	Epileptic condition in which adequate trials of two tolerated and appropriately chosen and used ANTIEPILEPTIC DRUGS schedules to achieve sustained seizure freedom failed.	""	0	#FFFFFF
D000069281	C10.228.140.617.738.275.500|C19.700.419.500|C20.111.273	Autoimmune Hypophysitis	Immune-mediated inflammation of the PITUITARY GLAND often associated with other autoimmune diseases (e.g., HASHIMOTO DISEASE; GRAVES DISEASE; and ADDISON DISEASE).	""	0	#FFFFFF
D000069282	C11.496.221.500	Canaliculitis	Inflammation and infection of the lacrimal canaliculus area in the LACRIMAL APPARATUS.	""	0	#FFFFFF
D000069290	C23.300.707.945|C23.550.767.500	Incisional Hernia	Protrusion of tissue at or near the site of an incision from a previous surgery.	""	0	#FFFFFF
D000069293	C04.557.386.480.150.585.500|C15.604.515.569.480.150.585.500|C20.683.515.761.480.150.585.500	Plasmablastic Lymphoma	Malignant lymphoma composed of large B lymphoid cells which have the immunophenotype of plasma cells and a predilection for the ORAL CAVITY.	""	0	#FFFFFF
D000069295	C04.557.470.200.588	Mammary Analogue Secretory Carcinoma	A malignant neoplasm of epithelial cells of the SALIVARY GLANDS, with microcystic architecture, low-grade nuclei, and granular vacuolated cytoplasm.	""	0	#FFFFFF
D000069316	C17.800.030.150.500|C17.800.794.111.500	Acne Conglobata	Severe and chronic form of acne characterized by large, burrowing abscesses associated with disfigurement.	""	0	#FFFFFF
D000069337	C12.050.351.875.420|C12.200.706.445|C12.800.445|C16.131.939.445	Fused Kidney	Congenital fusion of two kidneys.	""	0	#FFFFFF
D000069451	C23.550.543	Long Term Adverse Effects	Persistent detrimental effects from treatment for a condition. Included are effects from surgery such as POSTOPERATIVE COMPLICATIONS, and from DRUG THERAPY, such as CHEMICALLY INDUCED DISORDERS, or other THERAPEUTICS. Failure to attain a desired outcome from treatment for the condition is not considered an adverse effect.	""	0	#FFFFFF
D000069544	C01.207.399|C10.228.140.430.520|C10.228.228.399|C10.586.250.520	Infectious Encephalitis	Brain inflammation caused by an infectious agent.	""	0	#FFFFFF
D000069578	C01.936	Waterborne Diseases	Illnesses due to micro-organisms and chemicals in drinking water, those caused by organisms having part of their lifecycle in water or those with water-related vectors, and others spread by aerosols containing pathogens.	""	0	#FFFFFF
D000069584	C04.588.180.800|C17.800.090.500.682	Unilateral Breast Neoplasms	Tumors or cancer found specifically in one human BREAST, but not in both.	""	0	#FFFFFF
D000069836	C26.808.500	Degloving Injuries	Avulsions of the superficial tissues of SKIN and SUBCUTANEOUS TISSUE from the underlying FASCIA.	""	0	#FFFFFF
D000069856	C12.050.351.968.419.600.500.500|C12.050.351.968.967.249.500.500|C12.050.351.968.967.500.503.500|C12.200.777.419.600.500.500|C12.200.777.967.249.500.500|C12.200.777.967.500.503.500|C12.950.419.600.500.500|C12.950.967.249.500.500|C12.950.967.500.503.500|C23.300.175.850.550.500	Staghorn Calculi	Renal calculi with a characteristic shape like antlers of a deer, formed as it extends into multiple calices of the RENAL PELVIS. A large number of staghorn calculi as well as other URINARY CALCULI are composed of STRUVITE.	""	0	#FFFFFF
D000070558	C05.330.488.655|C05.330.495.681|C05.660.585.512.380.813|C16.131.621.585.512.500.681	Talipes	Deformity in which the foot is misaligned with respect to the TALUS in the ANKLE JOINT. While mostly congenital, as in CLUBFOOT, acquired deformities are included. Acquired talipedes are often associated with other foot deformities such as SYNDACTYLY and POLYDACTYLY.	""	0	#FFFFFF
D000070589	C05.330.488.655.500|C05.330.495.681.500|C05.660.585.512.380.813.500|C16.131.621.585.512.500.681.500	Talipes Cavus	A foot deformity in which the arch of the foot is high and often the heel adducted.	""	0	#FFFFFF
D000070591	C05.330.663	Metatarsal Valgus	A foot anomaly in which the forefoot is angled outward relative to the hindfoot.	""	0	#FFFFFF
D000070592	C05.330.711	Metatarsus Varus	A foot anomaly in which the forefoot (METATARSUS) is angled inward relative to the heel.	""	0	#FFFFFF
D000070598	C26.558.554.213	Anterior Cruciate Ligament Injuries	Sprain or tear injuries to the ANTERIOR CRUCIATE LIGAMENT of the knee.	""	0	#FFFFFF
D000070599	C26.803	Shoulder Injuries	Injuries involving the SHOULDERS and SHOULDER JOINT.	""	0	#FFFFFF
D000070600	C26.558.781	Tibial Meniscus Injuries	Injuries to the TIBIAL MENISCUS of the leg.	""	0	#FFFFFF
D000070603	C05.116.296	Coxa Magna	Deformity of the hip characterized by enlargement and deformation of the FEMUR HEAD and FEMUR NECK, often with associated changes in the ACETABULUM. These changes may be secondary to other diseases (e.g.  LEGG-PERTHES DISEASE; ARTHRITIS; HIP DISLOCATION, CONGENITAL) or TRAUMA.	""	0	#FFFFFF
D000070604	C05.116.099.370.894.909|C05.330.495.787|C05.660.585.512.380.875|C05.660.906.909|C16.131.621.585.512.500.787|C16.131.621.906.909	Tarsal Coalition	Congenital, complete or partial fusion of the TARSAL BONES of the foot. PES PLANUS is usually a feature.	""	0	#FFFFFF
D000070607	C05.360.500.500|C05.550.610.500|C10.668.829.600.375|C23.888.592.612.540.500|C23.888.592.612.664.275	Morton Neuroma	A nerve inflammation in the foot caused by chronic compression of the plantar nerve between the METATARSAL BONES.	""	0	#FFFFFF
D000070617	C26.599	Microtrauma, Physical	Small injuries caused by external force applied to the body including bones, muscles, nerves and tendons.	""	0	#FFFFFF
D000070624	C10.228.140.199.444.375|C10.900.300.087.235.375|C26.915.300.200.194.375|C26.974.250.500	Brain Contusion	A bruise of the brain from an impact of the skull.	""	0	#FFFFFF
D000070625	C10.228.140.199.388|C10.900.300.087.219|C26.915.300.200.188	Brain Injuries, Diffuse	Brain injuries occurring over a wide area instead of specific focal area.	""	0	#FFFFFF
D000070627	C10.228.140.199.444.500|C10.228.140.199.500.500|C10.574.250|C10.900.300.087.235.500|C10.900.300.087.250.500|C23.550.291.500.063.500.500|C26.915.300.200.194.500|C26.915.300.200.200.500	Chronic Traumatic Encephalopathy	Degenerative brain disease linked to repetitive brain trauma. Progressive symptoms may include MEMORY LOSS; AGGRESSION; or DEPRESSION.	""	0	#FFFFFF
D000070630	C05.550.518.288|C26.289.288	Diastasis, Muscle	Abnormal separation of muscles.	""	0	#FFFFFF
D000070631	C05.550.518.192|C26.289.192	Diastasis, Bone	Abnormal separation of bones, often from a LIGAMENT.	""	0	#FFFFFF
D000070636	C26.761.340|C26.803.063|C26.874.400	Rotator Cuff Injuries	Injuries to the ROTATOR CUFF of the shoulder joint.	""	0	#FFFFFF
D000070639	C05.651.869.435|C26.874.800.500	Elbow Tendinopathy	Inflammation (tendinitis) or degeneration (tendinosis) of the tendons of the elbow.	""	0	#FFFFFF
D000070642	C10.228.140.199.444|C10.900.300.087.235|C26.915.300.200.194	Brain Injuries, Traumatic	A form of acquired brain injury which occurs when a sudden trauma causes damage to the brain.	""	0	#FFFFFF
D000070656	C05.550.114.264.500|C05.550.354.250	Rotator Cuff Tear Arthropathy	Rapidly destructive shoulder joint and bone disease found mainly in elderly, and predominantly in women. It is characterized by SHOULDER PAIN; JOINT INSTABILITY; and the presence of crystalline CALCIUM PHOSPHATES in the SYNOVIAL FLUID. It is associated with ROTATOR CUFF INJURIES.	""	0	#FFFFFF
D000070657	C05.550.354	Crystal Arthropathies	Joint disorders that are characterized by accumulation of microcrystals in and around the joint including in the SYNOVIAL FLUID. They are classified according to the chemical nature of the crystals such as CALCIUM PYROPHOSPHATE; basic CALCIUM PHOSPHATES; and monosodium urate (see URIC ACID).	""	0	#FFFFFF
D000070676	C05.651.869.653|C26.874.800.750	Enthesopathy	A disorder occurring at the site of insertion of TENDONS or LIGAMENTS into bones or JOINT CAPSULES.	""	0	#FFFFFF
D000070779	C04.557.450.565.380.690|C05.550.870.445|C05.651.869.762	Giant Cell Tumor of Tendon Sheath	A tumor arising in the SYNOVIAL MEMBRANE; SYNOVIAL BURSA; or TENDON sheath. It is characterized by OSTEOCLAST-like GIANT CELLS; FOAM CELLS; pigmented HEMOSIDERIN-laden MACROPHAGES and inflammatory infiltrate. It is classified either as diffuse or localized tenosynovitis.	""	0	#FFFFFF
D000070896	C26.404.625.500|C26.803.250.500	Bankart Lesions	An anterior capsulolabral injury associated with a tear of the anteroinferior GLENOID LABRUM.	""	0	#FFFFFF
D000071017	C10.228.590	Hyperekplexia	A neurological disorder characterized by an excessive startle reaction with ABNORMAL REFLEX;  MYOCLONIC JERKS; and MUSCLE HYPERTONIA.	""	0	#FFFFFF
D000071056	C06.198.025|C16.131.314.047	Anorectal Malformations	Congenital defects in the anus and the rectum often involving the urinary and genital tracts.	""	0	#FFFFFF
D000071057	C10.228.662.262.500.500|C10.597.350.275.500|C23.888.592.350.275.500	Tardive Dyskinesia	Drug-related movement disorder characterized by uncontrollable movements in certain muscles. It is associated with a long-term exposure to certain neuroleptic medications (e.g., METOCLOPRAMIDE).	""	0	#FFFFFF
D000071064	C23.888.369.500.250	Alert Fatigue, Health Personnel	Mental fatigue experienced by health care providers who encounter numerous alerts and reminders from the use of CLINICAL DECISION SUPPORT SYSTEMS. As the numbers of alerts and reminders designed to provide meaningful assistance to the patient care process increases, many health personnel may ignore them.	""	0	#FFFFFF
D000071067	C01.748.610.608|C08.381.677.608|C08.730.610.608	Pneumonia, Necrotizing	Severe complication of pneumonia characterized by liquefaction of lung tissue.	""	0	#FFFFFF
D000071069	C23.550.291.500.500	Multiple Chronic Conditions	Two or more concurrent chronic physical, mental, or behavioral health problems in an individual.	""	0	#FFFFFF
D000071070	C16.320.298|C17.800.463.375|C18.452.584.718.625	Familial Multiple Lipomatosis	A rare autosomal disorder characterized by numerous encapsulated lipomas on the trunk and extremities. The lipomas are usually not painful but can cause pain when growing. In rare cases, one lipoma can become painful and progress to multiple painful lipomas; it is then referred to as Dercum's Disease Type III	""	0	#FFFFFF
D000071071	C14.907.055.817	Microaneurysm	Aneurysm of the MICROVASCULATURE. Charcot–Bouchard aneurysms are aneurysms of the brain vasculature which is a common cause of CEREBRAL HEMORRHAGE. Retinal microaneurysm is an early diagnostic sign of DIABETIC RETINOPATHY.	""	0	#FFFFFF
D000071072	C10.228.140.021	Acute Febrile Encephalopathy	Acute onset of fever accompanied by seizures, cerebral inflammation and a change in mental status (e.g., confusion, disorientation, and coma).	""	0	#FFFFFF
D000071074	C01.757.580|C16.614.627|C23.550.470.790.500.470	Neonatal Sepsis	Blood infection that occurs in an infant younger than 90 days old. Early-onset sepsis is seen in the first week of life and most often appears within 24 hours of birth. Late-onset occurs after 1 week and before 3 months of age.	""	0	#FFFFFF
D000071075	C10.668.829.860	Small Fiber Neuropathy	Disorder of the peripheral nerves that primarily impair small nerve fibers. The affected small nerve fibers include myelinated A-delta fibers (see A FIBERS) and unmyelinated C FIBERS. Because these small fibers innervate skin and help control autonomic function, their neuropathy presents with neuropathic pain, reduced thermal and pain sensitivity, and autonomic dysfunction (e.g. abnormal sweating or facial flushing). Small fiber neuropathy can be idiopathic or associated with underlying diseases (e.g., AMYLOIDOSIS; DIABETES MELLITUS; SARCOIDOSIS; or VASCULITIS).	""	0	#FFFFFF
D000071078	C14.907.798	Stenosis, Pulmonary Vein	Narrowing of the PULMONARY VEIN.	""	0	#FFFFFF
D000071079	C14.907.137.825	Stenosis, Pulmonary Artery	Narrowing of the PULMONARY ARTERIES.	""	0	#FFFFFF
D000071243	C01.920.500.990|C01.925.081.990|C01.925.782.350.250.990	Zika Virus Infection	A viral disease transmitted by the bite of AEDES mosquitoes infected with ZIKA VIRUS. Its mild DENGUE-like symptoms include fever, rash, headaches and ARTHRALGIA. The viral infection during pregnancy, in rare cases, is associated with congenital brain and ocular abnormalities, called Congenital Zika Syndrome, including MICROCEPHALY and may also lead to GUILLAIN-BARRE SYNDROME.	""	0	#FFFFFF
D000071257	C10.597.606.337.500.500|C23.550.767.181|C23.888.592.604.339.500.500	Emergence Delirium	A form of DELIRIUM which occurs after GENERAL ANESTHESIA.	""	0	#FFFFFF
D000071297	C01.221.250.875.044|C01.221.812.640.400.044|C01.778.640.400.044|C01.925.782.815.616.400.044|C01.925.813.400.044|C12.100.937.640.400.044|C20.673.480.044	Acute Retroviral Syndrome	Early stage of HIV infection. Symptoms resemble INFLUENZA or INFECTIOUS MONONUCLEOSIS.	""	0	#FFFFFF
D000071298	C23.550.260.127	Body Remains	The physical entity of a deceased human or animal.	""	0	#FFFFFF
D000071378	C05.330.488.050	Bunion	Abnormal swelling of the inner aspect of the first metatarsal head affecting the first METATARSOPHALANGEAL JOINT.	""	0	#FFFFFF
D000071380	C04.557.450.565.590.340.705|C05.360.375|C05.651.197.369|C17.300.349|C17.800.321.063	Fibromatosis, Plantar	A fibromatosis of the plantar fascia characterized by thickening of the fibrous bands on the plantar aponeurosis in the sole of the foot and toes.	""	0	#FFFFFF
D000071562	C26.404.038	Fractures, Avulsion	Tearing away of the CORTICAL BONE fragment at the location of a strong ligament or tendon attachment. The bone fragment detachment site often occurs near a soft site (e.g., GROWTH PLATE) at the base where LIGAMENTS; TENDONS; or JOINT CAPSULES attach. In younger patients it is most often caused by a sudden forceful pull on a tendon in the opposite direction of the bone movement. In the elderly it is associated with osteoporotic INSUFFICIENCY FRACTURES.	""	0	#FFFFFF
D000071576	C26.257	Crush Injuries	Excessive compression of parts of the body that causes muscle swelling, fracture, and/or neurological disturbances in the affected areas. Crush injury with systemic manifestations is referred to as CRUSH SYNDROME.	""	0	#FFFFFF
D000071697	C23.888.885.281	Cellulite	Skin lumpiness or skin surface dimpling often seen on the thighs, buttocks and abdomen. It is due to protrusion of SUBCUTANEOUS FAT into the DERMIS layer of skin.	""	0	#FFFFFF
D000071698	C18.452.394.750.714|C19.246.656|C20.111.576	Latent Autoimmune Diabetes in Adults	Autoimmune diabetes in adults with slowly progressive PANCREATIC BETA CELL failure and the presence of circulating autoantibodies to PANCREATIC ISLETS cell antigens.	""	0	#FFFFFF
D000071699	C09.218.568.900.442|C10.597.057|C23.888.592.057	Bilateral Vestibulopathy	Impairment of the vestibular function of both inner ears which can cause difficulties with balance, gait, VERTIGO, and visual blurring.	""	0	#FFFFFF
D000071700	C11.270.152|C11.768.585.658.250|C16.320.290.152	Cone-Rod Dystrophies	Genetically heterogeneous and sometimes syndromic (e.g., BARDET BIEDL SYNDROME; and SPINOCEREBELLAR ATAXIA TYPE 7) retinopathies with initial RETINAL CONE involvement. They are characterized by decreased VISUAL ACUITY; COLOR VISION DEFECTS; progressive loss of peripheral vision and night blindness.	""	0	#FFFFFF
D000071896	C23.888.541	Medically Unexplained Symptoms	Persistent health symptoms which remain unexplained after a complete medical evaluation. A cluster of symptoms that consistently appear together but without a known cause are referred to as a MEDICALLY UNEXPLAINED SYNDROME (MUS).	""	0	#FFFFFF
D000071956	C26.891.375.750|C26.974.250.875	Myocardial Contusions	Bruise to the heart muscle due to blunt thoracic trauma.	""	0	#FFFFFF
D000071960	C04.557.470.200.240.187|C04.588.180.130|C17.800.090.500.130	Breast Carcinoma In Situ	A condition in which abnormal cells have not spread outside the duct, lobule, or nipple to other tissues of the breast. There are 3 types of breast carcinoma in situ: DUCTAL CARCINOMA IN SITU; LOBULAR CARCINOMA IN SITU; and PAGET DISEASE OF THE NIPPLE.	""	0	#FFFFFF
D000072039	C05.550.518.336|C26.289.336|C26.404.026	Fracture Dislocation	Fracture of a bone near an articulation with concomitant dislocation of that joint.	""	0	#FFFFFF
D000072042	C05.550.518.336.875|C26.289.336.875|C26.404.026.500	Salter-Harris Fractures	Fractures involving a GROWTH PLATE.	""	0	#FFFFFF
D000072281	C15.604.338	Lymphadenopathy	Disease of LYMPH NODES which are abnormal in size, number or consistency.	""	0	#FFFFFF
D000072656	C15.604.496.160|C23.550.767.082	Breast Cancer Lymphedema	Abnormal accumulation of lymph in the arm, shoulder and breast area associated with surgical treatment (e.g., MASTECTOMY) or radiation treatment of breast cancer.	""	0	#FFFFFF
D000072657	C14.280.647.500.875|C14.907.585.500.875|C23.550.513.355.750.875|C23.550.717.489.750.875	ST Elevation Myocardial Infarction	A clinical syndrome defined by MYOCARDIAL ISCHEMIA symptoms; persistent elevation in the ST segments of the ELECTROCARDIOGRAM; and release of BIOMARKERS of myocardial NECROSIS (e.g., elevated TROPONIN levels). ST segment elevation in the ECG is often used in determining the treatment protocol (see also NON-ST ELEVATION MYOCARDIAL INFARCTION).	""	0	#FFFFFF
D000072658	C14.280.647.500.469|C14.907.585.500.656|C23.550.513.355.750.469|C23.550.717.489.750.469	Non-ST Elevated Myocardial Infarction	A myocardial infarction that does not produce elevations in the ST segments of the ELECTROCARDIOGRAM. ST segment elevation of the ECG is often used in determining the treatment protocol (see also ST Elevation Myocardial Infarction).	""	0	#FFFFFF
D000072659	C10.228.140.617.738.275|C19.700.419	Hypophysitis	Inflammation of the PITUITARY GLAND.	""	0	#FFFFFF
D000072660	C12.100.500.430.877|C12.100.750.700.877|C12.200.294.430.877	Teratozoospermia	Conditions in which sperm show abnormal morphology.	""	0	#FFFFFF
D000072661	C16.131.077.245|C16.320.184	Ciliopathies	Genetic disorders caused by defects in genes related to the primary CILIUM; BASAL BODY; or CENTROSOME. Primary features may include obesity, SKELETAL DYSPLASIA; POLYDACTYLY and malformations that primarily involve the liver, eye or kidneys.	""	0	#FFFFFF
D000072662	C23.149.625	Margins of Excision	The edges of tissue removed in a surgery for assessment of the effectiveness of a surgical procedure in achieving the local control of a neoplasm and the adequacy of tumor removal. When the margin is negative or not involved by tumor (e.g., CANCER) it suggests all of the tumor has been removed by the surgery.	""	0	#FFFFFF
D000072663	C23.300.940	Spontaneous Perforation	A pathological hole in an organ, blood vessel or other soft part of the body, occurring in the absence of external force.	""	0	#FFFFFF
D000072676	C07.160	Ankyloglossia	A severe congenital restriction of TONGUE movement, resulting from fusion or adherence of the tongue to the floor of the mouth. In partial ankyloglossia (tongue-tie) the LINGUAL FRENUM is abnormally short, or is attached too close to the tip of the tongue. OMIM: 106280	""	0	#FFFFFF
D000072716	C23.888.592.612.212	Cancer Pain	Pain that may be caused by or related to cellular, tissue, and systemic changes that occur during NEOPLASM growth, tissue invasion, and METASTASIS.	""	0	#FFFFFF
D000072717	C23.300.955	Tertiary Lymphoid Structures	Aggregates of immune cells formed near the sites of chronically inflamed, infected, or tumorous tissues.	""	0	#FFFFFF
D000072736	C25.100.844	Propofol Infusion Syndrome	Rare and often fatal drug complication which affects patients undergoing long-term treatment with high doses of PROPOFOL. It is characterized by METABOLIC ACIDOSIS; HYPERLIPIDEMIA; RHABDOMYOLYSIS; cardiovascular CIRCULATORY COLLAPSE; CARDIAC FAILURE; and KIDNEY FAILURE.	""	0	#FFFFFF
D000072742	C01.150.703.492	Invasive Fungal Infections	Mycoses which manifest as infections of deep tissue or blood.	""	0	#FFFFFF
D000072836	C26.859	Surgical Wound	An incision made during a surgical procedure.	""	0	#FFFFFF
D000072837	C23.550.210.310	Chromothripsis	Massive number of chromosomal rearrangements and shattering that occurs in cancer cells. The breakpoints are located within one chromosome or chromosome arm.	""	0	#FFFFFF
D000073296	C23.550.291.898	Noncommunicable Diseases	Diseases which are typically non-infectious in origin and do not transmit from an affected individual to others. The four main types of noncommunicable diseases are CARDIOVASCULAR DISEASES (e.g., heart attacks and stroke), CANCER, chronic respiratory diseases (e.g., CHRONIC OBSTRUCTIVE PULMONARY DISEASE and ASTHMA) and DIABETES MELLITUS.	""	0	#FFFFFF
D000073376	C10.228.140.490.493	Epileptic Syndromes	EPILEPTIC SEIZURES that are of similar type and age of onset and have other similar features (e.g., clinical course, EEG findings, genetic association and neuropathology).	""	0	#FFFFFF
D000073397	C24.580	Occupational Stress	Adverse psychological and behavioral reactions caused by the pressures and demands of employers or clients or other factors, such as the physical environment of the workplace, WORKPLACE VIOLENCE; or WORKPLACE BULLYING.	""	0	#FFFFFF
D000073436	C23.300.818	Microvascular Rarefaction	The reduction in density of the MICROVASCULATURE.	""	0	#FFFFFF
D000073496	C23.550.359	Frailty	A state of increased vulnerability to stressors, following declines in function and reserves across multiple physiologic systems, characterized by MUSCLE WEAKNESS; FATIGUE; slowed motor performance; low physical activity; and unintentional weight loss.	""	0	#FFFFFF
D000073605	C01.150.252.400.789.725.400|C01.920.930.887	Spotted Fever Group Rickettsiosis	A group of arthropod-borne diseases caused by spotted fever bio-group members of RICKETTSIA. They are characterized by fever, headache, and petechial (spotted) rash.	""	0	#FFFFFF
D000073617	C08.381.520.500.500|C15.378.962.500|C20.920.500	Transfusion-Related Acute Lung Injury	A rare but serious transfusion-related reaction in which fluid builds up in the lungs unrelated to excessively high infusion rate and/or volume (TRANSFUSION-ASSOCIATED CIRCULATORY OVERLOAD). Signs of Transfusion-Related Acute Lung Injury include pulmonary secretions; hypotension; fever; DYSPNEA; TACHYPNEA; TACHYCARDIA; and CYANOSIS.	""	0	#FFFFFF
D000073618	C01.925.256.466.930	Varicella Zoster Virus Infection	Infection caused by HUMAN HERPES VIRUS 3 (e.g., CHICKENPOX and HERPES ZOSTER).	""	0	#FFFFFF
D000073818	C23.888.592.612.860	Pain, Procedural	Pain associated with examination, treatment or procedures.	""	0	#FFFFFF
D000073839	C10.597.606.360.835|C14.240.400.970|C14.280.400.970|C16.131.077.919|C16.131.240.400.965|C16.131.260.923|C16.320.180.923	Trisomy 13 Syndrome	A chromosome disorder associated with TRISOMY of all or part of CHROMOSOME 13. Clinical manifestations include CONGENITAL HEART DEFECTS (e.g., PATENT DUCTUS ARTERIOSUS), facial malformations (e.g., CLEFT LIP; CLEFT PALATE; COLOBOMA; MICROPHTHALMIA); HYPOTONIA, digit malformations (e.g., POLYDACTYLY or SYNDACTYLY), and SEIZURES and severe INTELLECTUAL DISABILITY associated with NERVOUS SYSTEM MALFORMATIONS.	""	0	#FFFFFF
